config,source_file,prompt,tok_s,wall_ms,predicted_ms,predicted_n,prompt_n,draft_n,draft_acc,max_tokens,fa,kv_q8,commit
baseline,baseline.json,short_greet,136.16316704633496,2288.8993489323184,2203.239,300,25,0,0,300,True,True,9789512
baseline,baseline.json,short_q,136.03548168123532,2293.5815759701654,2205.307,300,28,0,0,300,True,True,9789512
baseline,baseline.json,medium_chat,135.97049621526125,2299.884438049048,2206.361,300,33,0,0,300,True,True,9789512
baseline,baseline.json,medium_rec,135.9918223584155,2303.4826539224014,2206.015,300,39,0,0,300,True,True,9789512
baseline,baseline.json,reasoning,135.5006205928423,2348.446917021647,2214.012,300,76,0,0,300,True,True,9789512
baseline,baseline.json,long_explain,135.44421639651563,2333.295649033971,2214.934,300,43,0,0,300,True,True,9789512
baseline,baseline.json,code_small,135.52045274672852,2311.3324340665713,2213.688,300,41,0,0,300,True,True,9789512
baseline,baseline.json,multi_turn_1,135.31427416746763,2315.6751369824633,2217.061,300,44,0,0,300,True,True,9789512
baseline,baseline.json,multi_turn_2,135.3355780994554,2314.45042102132,2216.712,300,37,0,0,300,True,True,9789512
baseline,baseline.json,zh_cn,135.663612125071,2299.8886299319565,2211.352,300,27,0,0,300,True,True,9789512
draft-qwen3-0.6b,draft-qwen3-0.6b.json,short_greet,135.25692729624558,2304.223338025622,2218.001,300,25,0,0,300,True,True,9789512
draft-qwen3-0.6b,draft-qwen3-0.6b.json,short_q,135.03003067882295,2311.2832700135186,2221.728,300,28,0,0,300,True,True,9789512
draft-qwen3-0.6b,draft-qwen3-0.6b.json,medium_chat,134.98907938347787,2316.0825700033456,2222.402,300,33,0,0,300,True,True,9789512
draft-qwen3-0.6b,draft-qwen3-0.6b.json,medium_rec,135.28492357754666,2315.067805000581,2217.542,300,39,0,0,300,True,True,9789512
draft-qwen3-0.6b,draft-qwen3-0.6b.json,reasoning,135.42196128918096,2349.371293094009,2215.298,300,76,0,0,300,True,True,9789512
draft-qwen3-0.6b,draft-qwen3-0.6b.json,long_explain,135.3906086755594,2334.1774550499395,2215.811,300,43,0,0,300,True,True,9789512
draft-qwen3-0.6b,draft-qwen3-0.6b.json,code_small,135.44085320514006,2312.5556050799787,2214.989,300,41,0,0,300,True,True,9789512
draft-qwen3-0.6b,draft-qwen3-0.6b.json,multi_turn_1,135.4907678848943,2313.3911510230973,2214.173,300,44,0,0,300,True,True,9789512
draft-qwen3-0.6b,draft-qwen3-0.6b.json,multi_turn_2,135.48899332581217,2310.865869978443,2214.202,300,37,0,0,300,True,True,9789512
draft-qwen3-0.6b,draft-qwen3-0.6b.json,zh_cn,135.0873677550956,2309.1553420526907,2220.785,300,27,0,0,300,True,True,9789512
ngram-cache,ngram-cache.json,short_greet,136.15568949241157,2289.176848018542,2203.36,300,25,0,0,300,True,True,9789512
ngram-cache,ngram-cache.json,short_q,135.6963802538246,2299.6354709612206,2210.818,300,28,0,0,300,True,True,9789512
ngram-cache,ngram-cache.json,medium_chat,135.52969749319755,2307.3182430816814,2213.537,300,33,0,0,300,True,True,9789512
ngram-cache,ngram-cache.json,medium_rec,135.55186553254939,2310.8559530228376,2213.175,300,39,0,0,300,True,True,9789512
ngram-cache,ngram-cache.json,reasoning,65.26205324861449,4731.6285140113905,4596.852,300,76,51,51,300,True,True,9789512
ngram-cache,ngram-cache.json,long_explain,95.93724936393603,3244.68369607348,3127.044,300,43,20,20,300,True,True,9789512
ngram-cache,ngram-cache.json,code_small,79.69215451989994,3861.550651025027,3764.486,300,41,25,25,300,True,True,9789512
ngram-cache,ngram-cache.json,multi_turn_1,135.9446795783902,2304.947560071014,2206.78,300,44,0,0,300,True,True,9789512
ngram-cache,ngram-cache.json,multi_turn_2,135.91610170873722,2304.1260440368205,2207.244,300,37,0,0,300,True,True,9789512
ngram-cache,ngram-cache.json,zh_cn,135.7561891246622,2299.3166689993814,2209.844,300,27,0,0,300,True,True,9789512
ngram-mod-n24,ngram-mod.json,short_greet,135.76012091701435,2297.290576971136,2209.78,300,25,0,0,300,True,True,9789512
ngram-mod-n24,ngram-mod.json,short_q,129.89672777153072,2399.066134938039,2309.527,300,28,7,7,300,True,True,9789512
ngram-mod-n24,ngram-mod.json,medium_chat,129.55342502548964,2409.84457207378,2315.647,300,33,4,4,300,True,True,9789512
ngram-mod-n24,ngram-mod.json,medium_rec,129.8823309375816,2407.3172729695216,2309.783,300,39,5,5,300,True,True,9789512
ngram-mod-n24,ngram-mod.json,reasoning,129.55135502080594,2450.9109989739954,2315.684,300,76,3,3,300,True,True,9789512
ngram-mod-n24,ngram-mod.json,long_explain,130.02159658719313,2425.658357911743,2307.309,300,43,4,4,300,True,True,9789512
ngram-mod-n24,ngram-mod.json,code_small,136.13097614985296,2300.5472569493577,2203.76,300,41,0,0,300,True,True,9789512
ngram-mod-n24,ngram-mod.json,multi_turn_1,130.11396682354075,2404.641604050994,2305.671,300,44,4,4,300,True,True,9789512
ngram-mod-n24,ngram-mod.json,multi_turn_2,130.16968920685002,2401.125133037567,2304.684,300,37,4,4,300,True,True,9789512
ngram-mod-n24,ngram-mod.json,zh_cn,130.06128054001445,2396.329310024157,2306.605,300,27,4,4,300,True,True,9789512
baseline-1000tok,baseline-1000tok.json,short_greet,133.99041627870005,2729.039133992046,2641.98,354,25,0,0,1000,True,True,9789512
baseline-1000tok,baseline-1000tok.json,short_q,133.52001891100656,3939.434590982273,3849.61,514,28,0,0,1000,True,True,9789512
baseline-1000tok,baseline-1000tok.json,medium_chat,133.44001871158915,6097.541342955083,6002.697,801,33,0,0,1000,True,True,9789512
baseline-1000tok,baseline-1000tok.json,medium_rec,133.5044190900689,3299.60517201107,3198.396,427,39,0,0,1000,True,True,9789512
baseline-1000tok,baseline-1000tok.json,reasoning,132.86146256289496,7663.669534027576,7526.637,1000,76,0,0,1000,True,True,9789512
baseline-1000tok,baseline-1000tok.json,long_explain,132.88602495393732,6827.792048919946,6704.994,891,43,0,0,1000,True,True,9789512
baseline-1000tok,baseline-1000tok.json,code_small,132.7637238525165,7633.992249961011,7532.178,1000,41,0,0,1000,True,True,9789512
baseline-1000tok,baseline-1000tok.json,multi_turn_1,133.12320205675348,2987.4582460615784,2884.546,384,44,0,0,1000,True,True,9789512
baseline-1000tok,baseline-1000tok.json,multi_turn_2,132.7230197990892,7633.050648961216,7534.488,1000,37,0,0,1000,True,True,9789512
baseline-1000tok,baseline-1000tok.json,zh_cn,133.0504087863851,3731.0538470046595,3637.719,484,27,0,0,1000,True,True,9789512
baseline-rerun,baseline-rerun.json,short_greet,136.0418355852792,2291.20672296267,2205.204,300,25,0,0,300,True,True,9789512
baseline-rerun,baseline-rerun.json,short_q,135.66698638853126,2300.3089369740337,2211.297,300,28,0,0,300,True,True,9789512
baseline-rerun,baseline-rerun.json,medium_chat,135.7252956210043,2305.6807440007105,2210.347,300,33,0,0,300,True,True,9789512
baseline-rerun,baseline-rerun.json,medium_rec,135.72314649684986,2307.6970509719104,2210.382,300,39,0,0,300,True,True,9789512
baseline-rerun,baseline-rerun.json,reasoning,135.46776341367928,2347.721302998252,2214.549,300,76,0,0,300,True,True,9789512
baseline-rerun,baseline-rerun.json,long_explain,135.3990412845217,2333.768631098792,2215.673,300,43,0,0,300,True,True,9789512
baseline-rerun,baseline-rerun.json,code_small,135.38419326364357,2313.0883360281587,2215.916,300,41,0,0,300,True,True,9789512
baseline-rerun,baseline-rerun.json,multi_turn_1,135.20669723840322,2316.886991960928,2218.825,300,44,0,0,300,True,True,9789512
baseline-rerun,baseline-rerun.json,multi_turn_2,135.12807438890582,2317.251962958835,2220.116,300,37,0,0,300,True,True,9789512
baseline-rerun,baseline-rerun.json,zh_cn,135.28480156425306,2306.65087106172,2217.544,300,27,0,0,300,True,True,9789512
draft-q35-08b-1000tok,draft-q35-08b-1000tok.json,short_greet,133.9285207594882,2730.1210940349847,2643.201,354,25,0,0,1000,True,True,9789512
draft-q35-08b-1000tok,draft-q35-08b-1000tok.json,short_q,133.5980689100919,3937.3999210074544,3847.361,514,28,0,0,1000,True,True,9789512
draft-q35-08b-1000tok,draft-q35-08b-1000tok.json,medium_chat,133.53563175774067,6093.239763984457,5998.399,801,33,0,0,1000,True,True,9789512
draft-q35-08b-1000tok,draft-q35-08b-1000tok.json,medium_rec,133.74578403219422,3293.4442879632115,3192.624,427,39,0,0,1000,True,True,9789512
draft-q35-08b-1000tok,draft-q35-08b-1000tok.json,reasoning,133.35385204603483,7635.436548967846,7498.846,1000,76,0,0,1000,True,True,9789512
