config,max_tokens,requests,reference,request_mean_tok_s,request_mean_delta_pct,pooled_tok_s,pooled_delta_pct,median_tok_s,min_tok_s,max_tok_s,across_prompt_sd,requests_with_draft_rounds,counted_draft_tokens,counted_draft_accepted,generated_tokens,decode_ms
baseline,300,10,baseline,135.694,0.0,135.693,0.0,135.592,135.314,136.163,0.317,0,0,0,3000,22108.681
baseline-rerun,300,10,baseline,135.503,-0.14,135.502,-0.14,135.433,135.128,136.042,0.282,0,0,0,3000,22139.853
draft-qwen3-0.6b,300,10,baseline,135.288,-0.3,135.288,-0.3,135.338,134.989,135.491,0.192,0,0,0,3000,22174.931
ngmod-n32,300,10,baseline,133.661,-1.5,133.661,-1.5,133.631,133.522,133.892,0.106,0,0,0,3000,22444.823
baseline-1000tok,1000,10,baseline-1000tok,133.186,0.0,133.073,0.0,133.087,132.723,133.99,0.413,0,0,0,6855,51513.245
ngram-mod-n24,300,10,baseline,131.114,-3.38,131.07,-3.41,130.041,129.551,136.131,2.557,8,35,35,3000,22888.45
ngmod-n24-1000tok,1000,10,baseline-1000tok,131.057,-1.6,131.052,-1.52,130.781,124.088,138.255,3.897,8,175,175,6887,52551.625
ngmod-n20,300,10,baseline,130.05,-4.16,130.021,-4.18,129.108,128.82,134.098,2.072,8,67,67,3000,23073.212
ngmod-n8,300,10,baseline,129.989,-4.2,129.83,-4.32,131.576,119.966,134.303,4.709,7,138,138,3000,23107.136
ngmod-n16,300,10,baseline,129.975,-4.21,129.927,-4.25,130.49,123.831,134.057,2.598,9,102,102,3000,23089.94
ngmod-n12,300,10,baseline,129.644,-4.46,129.485,-4.58,131.99,119.766,134.435,4.704,8,128,128,3000,23168.794
ngcache-kv-fp16,300,10,baseline,121.266,-10.63,113.721,-16.19,137.761,67.271,137.914,27.582,3,88,88,3000,26380.368
draft-q35-08b-max8,300,10,baseline,121.055,-10.79,109.862,-19.04,135.553,59.229,136.167,30.871,2,270,270,3000,27307.06
draft-q35-08b-max16,300,10,baseline,120.966,-10.85,110.257,-18.75,135.181,59.584,136.053,30.296,2,278,278,3000,27209.092
draft-q35-08b-max32,300,10,baseline,120.282,-11.36,109.971,-18.96,134.089,59.518,134.817,29.715,2,280,280,3000,27279.991
draft-q35-08b-1000tok,1000,10,baseline-1000tok,120.214,-9.74,106.077,-20.29,133.567,64.772,133.929,28.306,2,937,937,6698,63142.588
ngram-cache,300,10,baseline,119.144,-12.2,111.304,-17.97,135.624,65.262,136.156,27.767,3,96,96,3000,26953.14
ngcache-rerun,300,10,baseline,118.84,-12.42,111.14,-18.09,134.976,65.565,135.706,27.524,3,96,96,3000,26992.95
ngcache-1000tok,1000,10,baseline-1000tok,115.864,-13.01,98.903,-25.68,133.059,59.993,133.649,28.707,3,317,317,6826,69016.87
