wall_iso,ts,gfx_mhz,gfx_max_mhz,mem_mhz,sm_mhz,power_w,power_limit_w,power_default_w,temp_c,util_pct,mem_used_mib,pstate,throttle_active,thr_sw_thermal,thr_hw_thermal,thr_hw_power_brake,thr_sw_power_cap,thr_gpu_idle
2026-08-25T20:57:07+08:00,2026/08/25 20:57:07.483, 1935 MHz, 2100 MHz, 9501 MHz, 1935 MHz, 236.03 W, 350.00 W, 350.00 W, 65, 87 %, 22614 MiB, P2, 0x0000000000000004, Not Active, Not Active, Not Active, Active, Not Active
2026-08-25T20:57:12+08:00,2026/08/25 20:57:12.510, 1935 MHz, 2100 MHz, 9501 MHz, 1935 MHz, 245.61 W, 350.00 W, 350.00 W, 66, 89 %, 22614 MiB, P2, 0x0000000000000004, Not Active, Not Active, Not Active, Active, Not Active
2026-08-25T20:57:17+08:00,2026/08/25 20:57:17.542, 1935 MHz, 2100 MHz, 9501 MHz, 1935 MHz, 242.22 W, 350.00 W, 350.00 W, 66, 96 %, 22614 MiB, P2, 0x0000000000000004, Not Active, Not Active, Not Active, Active, Not Active
2026-08-25T20:57:22+08:00,2026/08/25 20:57:22.571, 1845 MHz, 2100 MHz, 9501 MHz, 1845 MHz, 241.14 W, 350.00 W, 350.00 W, 66, 95 %, 22614 MiB, P2, 0x0000000000000004, Not Active, Not Active, Not Active, Active, Not Active
2026-08-25T20:57:27+08:00,2026/08/25 20:57:27.599, 1935 MHz, 2100 MHz, 9501 MHz, 1935 MHz, 241.45 W, 350.00 W, 350.00 W, 66, 89 %, 22614 MiB, P2, 0x0000000000000004, Not Active, Not Active, Not Active, Active, Not Active
2026-08-25T20:57:32+08:00,2026/08/25 20:57:32.627, 1890 MHz, 2100 MHz, 9501 MHz, 1890 MHz, 246.17 W, 350.00 W, 350.00 W, 66, 89 %, 22614 MiB, P2, 0x0000000000000004, Not Active, Not Active, Not Active, Active, Not Active
2026-08-25T20:57:37+08:00,2026/08/25 20:57:37.652, 1845 MHz, 2100 MHz, 9501 MHz, 1845 MHz, 242.12 W, 350.00 W, 350.00 W, 66, 89 %, 22614 MiB, P2, 0x0000000000000004, Not Active, Not Active, Not Active, Active, Not Active
2026-08-25T20:57:42+08:00,2026/08/25 20:57:42.688, 1935 MHz, 2100 MHz, 9501 MHz, 1935 MHz, 237.46 W, 350.00 W, 350.00 W, 65, 90 %, 22614 MiB, P2, 0x0000000000000004, Not Active, Not Active, Not Active, Active, Not Active
2026-08-25T20:57:47+08:00,2026/08/25 20:57:47.723, 1935 MHz, 2100 MHz, 9501 MHz, 1935 MHz, 243.15 W, 350.00 W, 350.00 W, 66, 96 %, 22614 MiB, P2, 0x0000000000000004, Not Active, Not Active, Not Active, Active, Not Active
2026-08-25T20:57:52+08:00,2026/08/25 20:57:52.754, 1845 MHz, 2100 MHz, 9501 MHz, 1845 MHz, 240.66 W, 350.00 W, 350.00 W, 66, 91 %, 22614 MiB, P2, 0x0000000000000004, Not Active, Not Active, Not Active, Active, Not Active
2026-08-25T20:57:57+08:00,2026/08/25 20:57:57.782, 1845 MHz, 2100 MHz, 9501 MHz, 1845 MHz, 240.29 W, 350.00 W, 350.00 W, 66, 95 %, 22614 MiB, P2, 0x0000000000000004, Not Active, Not Active, Not Active, Active, Not Active
2026-08-25T20:58:02+08:00,2026/08/25 20:58:02.809, 1815 MHz, 2100 MHz, 9501 MHz, 1815 MHz, 239.86 W, 350.00 W, 350.00 W, 66, 96 %, 22614 MiB, P2, 0x0000000000000004, Not Active, Not Active, Not Active, Active, Not Active
2026-08-25T20:58:07+08:00,2026/08/25 20:58:07.835, 1935 MHz, 2100 MHz, 9501 MHz, 1935 MHz, 244.33 W, 350.00 W, 350.00 W, 66, 94 %, 22614 MiB, P2, 0x0000000000000004, Not Active, Not Active, Not Active, Active, Not Active
2026-08-25T20:58:12+08:00,2026/08/25 20:58:12.861, 1935 MHz, 2100 MHz, 9501 MHz, 1935 MHz, 241.82 W, 350.00 W, 350.00 W, 68, 91 %, 22620 MiB, P2, 0x0000000000000004, Not Active, Not Active, Not Active, Active, Not Active
2026-08-25T20:58:17+08:00,2026/08/25 20:58:17.895, 1935 MHz, 2100 MHz, 9501 MHz, 1935 MHz, 232.74 W, 350.00 W, 350.00 W, 66, 91 %, 22620 MiB, P2, 0x0000000000000004, Not Active, Not Active, Not Active, Active, Not Active
2026-08-25T20:58:22+08:00,2026/08/25 20:58:22.924, 1890 MHz, 2100 MHz, 9501 MHz, 1890 MHz, 245.09 W, 350.00 W, 350.00 W, 66, 89 %, 22620 MiB, P2, 0x0000000000000004, Not Active, Not Active, Not Active, Active, Not Active
2026-08-25T20:58:27+08:00,2026/08/25 20:58:27.949, 1935 MHz, 2100 MHz, 9501 MHz, 1935 MHz, 241.40 W, 350.00 W, 350.00 W, 67, 92 %, 22620 MiB, P2, 0x0000000000000004, Not Active, Not Active, Not Active, Active, Not Active
2026-08-25T20:58:32+08:00,2026/08/25 20:58:32.981, 1935 MHz, 2100 MHz, 9501 MHz, 1935 MHz, 240.21 W, 350.00 W, 350.00 W, 67, 93 %, 22620 MiB, P2, 0x0000000000000004, Not Active, Not Active, Not Active, Active, Not Active
2026-08-25T20:58:37+08:00,2026/08/25 20:58:38.008, 1935 MHz, 2100 MHz, 9501 MHz, 1935 MHz, 240.80 W, 350.00 W, 350.00 W, 66, 90 %, 22620 MiB, P2, 0x0000000000000004, Not Active, Not Active, Not Active, Active, Not Active
