ts,util,mem_used,temp,pstate,clk_sm,clk_mem,pwr,throttle
2026/08/2601:47:50.693,0,82,51,P8,210,405,30.89,0x0000000000000001
2026/08/2601:47:55.721,0,82,49,P8,210,405,30.24,0x0000000000000001
2026/08/2601:48:00.753,0,85,47,P8,210,405,29.43,0x0000000000000001
2026/08/2601:48:05.796,100,21146,55,P2,1965,9501,157.08,0x0000000000000000
2026/08/2601:48:10.824,100,21146,55,P2,1965,9501,157.55,0x0000000000000000
2026/08/2601:48:15.851,85,21732,63,P2,1950,9501,333.26,0x0000000000000004
2026/08/2601:48:20.875,85,21732,65,P2,1950,9501,333.73,0x0000000000000000
2026/08/2601:48:25.899,87,21732,67,P2,1935,9501,332.87,0x0000000000000004
2026/08/2601:48:30.924,86,21740,68,P2,1935,9501,303.66,0x0000000000000004
2026/08/2601:48:35.948,86,21740,69,P2,1935,9501,307.48,0x0000000000000004
2026/08/2601:48:40.972,29,21740,67,P2,1920,9501,312.12,0x0000000000000004
2026/08/2601:48:45.995,100,21146,63,P2,1950,9501,170.85,0x0000000000000000
2026/08/2601:48:51.022,100,21146,62,P2,1950,9501,169.86,0x0000000000000000
2026/08/2601:48:56.053,100,21146,61,P2,1950,9501,169.08,0x0000000000000000
2026/08/2601:49:01.082,88,22570,63,P2,1950,9501,239.43,0x0000000000000000
2026/08/2601:49:06.105,91,22574,64,P2,1950,9501,230.90,0x0000000000000000
2026/08/2601:49:11.126,89,22578,64,P2,1935,9501,235.91,0x0000000000000004
2026/08/2601:49:16.154,89,22578,63,P2,1950,9501,238.54,0x0000000000000000
2026/08/2601:49:21.178,93,22578,63,P2,1950,9501,235.30,0x0000000000000000
2026/08/2601:49:26.202,90,22578,63,P2,1950,9501,238.42,0x0000000000000000
2026/08/2601:49:31.226,91,22578,63,P2,1935,9501,230.31,0x0000000000000004
2026/08/2601:49:36.250,90,22578,63,P2,1950,9501,235.35,0x0000000000000000
2026/08/2601:49:41.271,88,22578,63,P2,1950,9501,234.51,0x0000000000000000
2026/08/2601:49:46.292,91,22578,64,P2,1950,9501,235.80,0x0000000000000000
2026/08/2601:49:51.312,90,22584,64,P2,1950,9501,225.68,0x0000000000000000
2026/08/2601:49:56.334,87,22584,64,P2,1950,9501,233.65,0x0000000000000000
2026/08/2601:50:01.358,89,22584,63,P2,1935,9501,233.43,0x0000000000000000
2026/08/2601:50:06.380,90,22584,64,P2,1935,9501,230.95,0x0000000000000004
2026/08/2601:50:11.400,91,22584,64,P2,1950,9501,238.98,0x0000000000000004
2026/08/2601:50:16.423,87,22584,64,P2,1950,9501,235.32,0x0000000000000000
2026/08/2601:50:21.452,89,22584,64,P2,1950,9501,239.03,0x0000000000000000
2026/08/2601:50:26.473,93,22584,64,P2,1950,9501,228.30,0x0000000000000004
2026/08/2601:50:31.495,92,22584,64,P2,1935,9501,232.91,0x0000000000000000
2026/08/2601:50:36.518,90,22584,64,P2,1950,9501,231.33,0x0000000000000000
2026/08/2601:50:41.539,90,22584,64,P2,1950,9501,237.71,0x0000000000000000
2026/08/2601:50:46.561,93,22584,64,P2,1920,9501,230.74,0x0000000000000004
2026/08/2601:50:51.589,100,21146,61,P2,1950,9501,167.72,0x0000000000000000
2026/08/2601:50:56.620,100,21146,60,P2,1950,9501,166.35,0x0000000000000000
2026/08/2601:51:01.647,0,21702,59,P2,1950,9501,166.52,0x0000000000000000
2026/08/2601:51:06.670,91,22574,62,P2,1950,9501,232.39,0x0000000000000000
2026/08/2601:51:11.692,30,22578,61,P2,1950,9501,231.06,0x0000000000000000
2026/08/2601:51:16.714,88,22578,63,P2,1950,9501,236.68,0x0000000000000000
2026/08/2601:51:21.738,90,22578,63,P2,1950,9501,234.74,0x0000000000000004
2026/08/2601:51:26.762,89,22578,63,P2,1950,9501,234.71,0x0000000000000000
2026/08/2601:51:31.787,87,22578,64,P2,1950,9501,231.58,0x0000000000000000
2026/08/2601:51:36.810,90,22578,64,P2,1950,9501,236.83,0x0000000000000000
2026/08/2601:51:41.833,89,22578,64,P2,1950,9501,234.88,0x0000000000000000
2026/08/2601:51:46.854,91,22578,64,P2,1950,9501,238.71,0x0000000000000000
2026/08/2601:51:51.876,90,22578,64,P2,1950,9501,240.57,0x0000000000000000
2026/08/2601:51:56.897,88,22584,64,P2,1950,9501,228.46,0x0000000000000000
2026/08/2601:52:01.918,94,22584,63,P2,1935,9501,226.22,0x0000000000000004
2026/08/2601:52:06.945,87,22584,64,P2,1950,9501,236.47,0x0000000000000000
2026/08/2601:52:11.965,88,22584,65,P2,1950,9501,227.69,0x0000000000000000
2026/08/2601:52:16.987,88,22584,64,P2,1950,9501,242.59,0x0000000000000000
2026/08/2601:52:22.012,88,22584,65,P2,1950,9501,240.29,0x0000000000000000
2026/08/2601:52:27.035,92,22584,65,P2,1950,9501,234.47,0x0000000000000004
2026/08/2601:52:32.059,88,22584,64,P2,1935,9501,232.51,0x0000000000000000
2026/08/2601:52:37.080,89,22584,65,P2,1950,9501,235.98,0x0000000000000000
2026/08/2601:52:42.100,90,22584,65,P2,1950,9501,242.21,0x0000000000000000
2026/08/2601:52:47.123,87,22584,65,P2,1950,9501,232.74,0x0000000000000000
2026/08/2601:52:52.147,99,21146,62,P2,1950,9501,168.67,0x0000000000000000
2026/08/2601:52:57.175,100,21146,61,P2,1950,9501,167.39,0x0000000000000000
2026/08/2601:53:02.206,100,21146,60,P2,1950,9501,166.64,0x0000000000000000
2026/08/2601:53:07.233,85,21732,67,P2,1935,9501,302.95,0x0000000000000004
2026/08/2601:53:12.255,77,21732,64,P2,1935,9501,303.43,0x0000000000000004
2026/08/2601:53:17.278,87,21732,70,P2,1920,9501,337.22,0x0000000000000004
2026/08/2601:53:22.302,84,21740,71,P2,1920,9501,337.99,0x0000000000000004
2026/08/2601:53:27.324,84,21740,72,P2,1920,9501,338.88,0x0000000000000004
2026/08/2601:53:32.347,86,21740,73,P2,1920,9501,325.21,0x0000000000000004
2026/08/2601:53:37.370,100,21146,65,P2,1935,9501,173.54,0x0000000000000000
2026/08/2601:53:42.395,99,21146,63,P2,1950,9501,172.35,0x0000000000000000
2026/08/2601:53:47.422,100,21146,62,P2,1950,9501,170.96,0x0000000000000000
2026/08/2601:53:52.451,86,21732,69,P2,1935,9501,304.11,0x0000000000000004
2026/08/2601:53:57.473,86,21732,70,P2,1920,9501,294.79,0x0000000000000004
2026/08/2601:54:02.494,57,21732,69,P2,1920,9501,333.20,0x0000000000000004
2026/08/2601:54:07.515,86,21740,72,P2,1920,9501,335.60,0x0000000000000004
2026/08/2601:54:12.538,85,21740,72,P2,1920,9501,340.66,0x0000000000000004
2026/08/2601:54:17.563,87,21740,73,P2,1920,9501,338.15,0x0000000000000004
2026/08/2601:54:22.587,99,21146,65,P2,1935,9501,174.12,0x0000000000000000
2026/08/2601:54:27.614,100,21146,63,P2,1950,9501,172.56,0x0000000000000000
2026/08/2601:54:32.645,99,21146,62,P2,1950,9501,171.18,0x0000000000000000
2026/08/2601:54:37.674,90,22574,64,P2,1950,9501,242.46,0x0000000000000000
2026/08/2601:54:42.696,88,22578,64,P2,1950,9501,230.50,0x0000000000000000
2026/08/2601:54:47.718,90,22578,65,P2,1950,9501,238.66,0x0000000000000000
2026/08/2601:54:52.738,90,22578,64,P2,1950,9501,239.56,0x0000000000000000
2026/08/2601:54:57.761,93,22578,64,P2,1920,9501,241.33,0x0000000000000004
2026/08/2601:55:02.784,91,22578,63,P2,1950,9501,233.38,0x0000000000000000
2026/08/2601:55:07.807,89,22578,64,P2,1950,9501,235.25,0x0000000000000000
2026/08/2601:55:12.829,89,22578,64,P2,1950,9501,239.94,0x0000000000000000
2026/08/2601:55:17.849,90,22578,63,P2,1950,9501,219.63,0x0000000000000000
2026/08/2601:55:22.872,91,22578,64,P2,1950,9501,233.35,0x0000000000000000
2026/08/2601:55:27.895,91,22584,63,P2,1920,9501,228.85,0x0000000000000004
2026/08/2601:55:32.917,88,22584,64,P2,1950,9501,234.46,0x0000000000000000
2026/08/2601:55:37.937,89,22584,63,P2,1950,9501,239.64,0x0000000000000000
2026/08/2601:55:42.962,90,22584,63,P2,1950,9501,229.32,0x0000000000000000
2026/08/2601:55:47.982,89,22584,63,P2,1950,9501,230.93,0x0000000000000000
2026/08/2601:55:53.005,88,22584,63,P2,1950,9501,233.46,0x0000000000000000
2026/08/2601:55:58.025,89,22584,63,P2,1950,9501,238.69,0x0000000000000000
2026/08/2601:56:03.045,89,22584,63,P2,1950,9501,217.30,0x0000000000000000
2026/08/2601:56:08.067,91,22584,63,P2,1935,9501,234.61,0x0000000000000004
2026/08/2601:56:13.089,69,22584,63,P2,1950,9501,223.19,0x0000000000000000
2026/08/2601:56:18.111,90,22584,63,P2,1950,9501,227.13,0x0000000000000000
2026/08/2601:56:23.133,0,82,61,P0,1950,9751,186.56,0x0000000000000000
2026/08/2601:56:28.156,0,82,54,P8,210,810,49.54,0x0000000000000001
2026/08/2601:56:33.300,0,346,55,P2,1935,9751,60.35,0x0000000000000000
2026/08/2601:56:38.322,100,21146,57,P2,1965,9501,162.01,0x0000000000000000
2026/08/2601:56:43.349,100,21146,57,P2,1965,9501,161.99,0x0000000000000000
2026/08/2601:56:48.376,76,21726,64,P2,1950,9501,275.00,0x0000000000000004
2026/08/2601:56:53.399,23,21726,62,P2,1950,9501,306.07,0x0000000000000004
2026/08/2601:56:58.422,80,21728,67,P2,1935,9501,335.61,0x0000000000000004
2026/08/2601:57:03.448,79,21728,68,P2,1920,9501,330.48,0x0000000000000004
2026/08/2601:57:08.471,83,21728,68,P2,1935,9501,315.08,0x0000000000000000
2026/08/2601:57:13.745,0,346,64,P2,1935,9501,199.07,0x0000000000000000
2026/08/2601:57:18.768,100,21146,62,P2,1950,9501,169.20,0x0000000000000000
2026/08/2601:57:23.798,99,21146,61,P2,1950,9501,168.01,0x0000000000000000
2026/08/2601:57:28.826,30,22536,61,P2,1950,9501,169.52,0x0000000000000000
2026/08/2601:57:33.847,92,22554,61,P2,1950,9501,220.20,0x0000000000000004
2026/08/2601:57:38.869,90,22554,63,P2,1950,9501,218.93,0x0000000000000004
2026/08/2601:57:43.893,91,22554,61,P2,1950,9501,213.12,0x0000000000000004
2026/08/2601:57:48.916,92,22554,61,P2,1950,9501,212.12,0x0000000000000004
2026/08/2601:57:53.940,92,22554,61,P2,1950,9501,204.01,0x0000000000000004
2026/08/2601:57:58.964,84,22554,62,P2,1920,9501,206.29,0x0000000000000004
2026/08/2601:58:03.986,94,22554,63,P2,1950,9501,207.50,0x0000000000000004
2026/08/2601:58:09.008,88,22554,61,P2,1950,9501,218.13,0x0000000000000004
2026/08/2601:58:14.032,85,22560,62,P2,1950,9501,193.41,0x0000000000000004
2026/08/2601:58:19.052,93,22562,61,P2,1950,9501,221.31,0x0000000000000004
2026/08/2601:58:24.076,91,22562,62,P2,1935,9501,215.72,0x0000000000000004
2026/08/2601:58:29.098,92,22562,61,P2,1950,9501,219.58,0x0000000000000004
2026/08/2601:58:34.118,98,22562,63,P2,1890,9501,231.52,0x0000000000000004
2026/08/2601:58:39.146,92,22562,63,P2,1890,9501,212.58,0x0000000000000004
2026/08/2601:58:44.167,96,22562,63,P2,1950,9501,231.23,0x0000000000000004
2026/08/2601:58:49.193,92,22562,63,P2,1950,9501,207.44,0x0000000000000004
2026/08/2601:58:54.217,90,22564,62,P2,1905,9501,218.78,0x0000000000000004
2026/08/2601:58:59.239,91,22564,62,P2,1950,9501,222.42,0x0000000000000004
2026/08/2601:59:04.261,95,22564,63,P2,1950,9501,211.35,0x0000000000000004
2026/08/2601:59:09.284,97,22564,62,P2,1905,9501,223.99,0x0000000000000004
2026/08/2601:59:14.305,93,22564,64,P2,1950,9501,223.51,0x0000000000000004
2026/08/2601:59:19.329,90,22564,62,P2,1920,9501,219.15,0x0000000000000004
2026/08/2601:59:24.351,91,22564,62,P2,1950,9501,222.61,0x0000000000000004
2026/08/2601:59:29.377,97,22564,64,P2,1890,9501,230.89,0x0000000000000004
2026/08/2601:59:34.403,97,22564,63,P2,1890,9501,226.18,0x0000000000000004
2026/08/2601:59:39.426,87,22564,62,P2,1950,9501,207.43,0x0000000000000004
