ts,util,mem_used,temp,pstate,clk_sm,clk_mem,pwr,throttle
2026/08/2602:56:15.692,0,82,47,P8,210,405,28.83,0x0000000000000001
2026/08/2602:56:20.725,0,82,46,P8,210,405,28.36,0x0000000000000001
2026/08/2602:56:26.151,0,99,47,P0,1695,9751,36.81,0x0000000000000000
2026/08/2602:56:31.176,100,20144,53,P2,1980,9501,156.50,0x0000000000000000
2026/08/2602:56:36.203,100,20144,54,P2,1980,9501,159.27,0x0000000000000000
2026/08/2602:56:41.231,100,20144,54,P2,1980,9501,159.74,0x0000000000000000
2026/08/2602:56:46.260,83,23368,62,P2,1965,9501,291.01,0x0000000000000004
2026/08/2602:56:51.283,84,23384,64,P2,1935,9501,301.69,0x0000000000000004
2026/08/2602:56:56.305,80,23390,65,P2,1950,9501,312.59,0x0000000000000004
2026/08/2602:57:01.329,81,23390,66,P2,1950,9501,330.08,0x0000000000000004
2026/08/2602:57:06.354,72,23390,64,P2,1950,9501,308.06,0x0000000000000004
2026/08/2602:57:11.376,0,82,61,P3,1950,9751,160.62,0x0000000000000001
2026/08/2602:57:16.399,0,82,54,P8,210,405,44.07,0x0000000000000001
2026/08/2602:57:21.429,100,21146,57,P2,1965,9501,162.98,0x0000000000000000
2026/08/2602:57:26.455,100,21146,58,P2,1965,9501,163.03,0x0000000000000000
2026/08/2602:57:31.487,99,21146,57,P2,1965,9501,162.90,0x0000000000000000
2026/08/2602:57:36.516,86,21624,64,P2,1950,9501,307.08,0x0000000000000004
2026/08/2602:57:41.541,79,21624,64,P2,1950,9501,295.15,0x0000000000000004
2026/08/2602:57:46.566,85,21624,68,P2,1935,9501,342.13,0x0000000000000004
2026/08/2602:57:51.586,84,21632,69,P2,1935,9501,344.19,0x0000000000000004
2026/08/2602:57:56.607,86,21632,70,P2,1935,9501,339.73,0x0000000000000004
2026/08/2602:58:01.629,87,21632,71,P2,1935,9501,344.32,0x0000000000000004
2026/08/2602:58:06.652,34,20642,61,P2,1695,9501,134.16,0x0000000000000000
2026/08/2602:58:11.680,99,20642,61,P2,1950,9501,166.10,0x0000000000000000
2026/08/2602:58:16.704,100,20642,60,P2,1950,9501,164.52,0x0000000000000000
2026/08/2602:58:21.732,88,23614,68,P2,1935,9501,342.55,0x0000000000000004
2026/08/2602:58:26.756,88,23630,69,P2,1935,9501,336.06,0x0000000000000004
2026/08/2602:58:31.778,87,23636,70,P2,1920,9501,342.08,0x0000000000000004
2026/08/2602:58:36.803,85,23636,71,P2,1935,9501,337.59,0x0000000000000004
2026/08/2602:58:41.827,90,23636,71,P2,1935,9501,337.01,0x0000000000000004
2026/08/2602:58:46.850,0,346,64,P2,1935,9501,161.18,0x0000000000000000
2026/08/2602:58:51.870,99,20144,62,P2,1950,9501,167.47,0x0000000000000000
2026/08/2602:58:56.895,99,20144,61,P2,1950,9501,166.00,0x0000000000000000
2026/08/2602:59:01.923,81,23368,68,P2,1935,9501,303.95,0x0000000000000004
2026/08/2602:59:06.948,84,23384,69,P2,1920,9501,287.81,0x0000000000000004
2026/08/2602:59:11.972,83,23390,70,P2,1935,9501,281.90,0x0000000000000004
2026/08/2602:59:16.996,85,23390,71,P2,1920,9501,330.42,0x0000000000000004
2026/08/2602:59:22.021,85,23390,72,P2,1920,9501,337.73,0x0000000000000004
2026/08/2602:59:27.042,0,346,64,P2,1935,9501,171.74,0x0000000000000000
2026/08/2602:59:32.063,99,19680,62,P2,1950,9501,167.38,0x0000000000000000
2026/08/2602:59:37.089,99,19680,61,P2,1950,9501,166.32,0x0000000000000000
2026/08/2602:59:42.117,42,23154,65,P2,1935,9501,316.00,0x0000000000000004
2026/08/2602:59:47.141,78,23170,69,P2,1935,9501,290.53,0x0000000000000004
2026/08/2602:59:52.167,79,23176,69,P2,1920,9501,276.23,0x0000000000000004
2026/08/2602:59:57.191,79,23176,70,P2,1920,9501,337.22,0x0000000000000004
2026/08/2603:00:02.213,81,23176,71,P2,1935,9501,327.18,0x0000000000000004
2026/08/2603:00:07.238,0,346,64,P2,1935,9501,160.81,0x0000000000000000
2026/08/2603:00:12.260,100,19044,62,P2,1950,9501,167.50,0x0000000000000000
2026/08/2603:00:17.285,100,19044,61,P2,1950,9501,169.00,0x0000000000000000
2026/08/2603:00:22.316,59,22774,64,P2,1935,9501,303.55,0x0000000000000004
2026/08/2603:00:27.340,72,22790,68,P2,1935,9501,282.91,0x0000000000000004
