ts,util,mem_used,temp,pstate,clk_sm,clk_mem,pwr,throttle
2026/08/2603:26:52.356,0,82,42,P8,210,405,25.95,0x0000000000000001
2026/08/2603:26:57.389,0,82,41,P8,210,405,25.57,0x0000000000000001
2026/08/2603:27:02.420,0,82,41,P8,210,405,25.72,0x0000000000000001
2026/08/2603:27:07.461,99,21146,50,P2,1950,9501,151.46,0x0000000000000000
2026/08/2603:27:12.491,100,21146,51,P2,1950,9501,153.07,0x0000000000000000
2026/08/2603:27:17.515,63,21624,58,P2,1965,9501,294.65,0x0000000000000004
2026/08/2603:27:22.536,85,21632,62,P2,1950,9501,330.53,0x0000000000000004
2026/08/2603:27:27.557,84,21632,64,P2,1950,9501,335.10,0x0000000000000004
2026/08/2603:27:32.580,0,346,56,P2,1695,9501,135.34,0x0000000000000000
2026/08/2603:27:37.603,100,20144,56,P2,1965,9501,151.41,0x0000000000000000
2026/08/2603:27:42.627,84,23384,62,P2,1935,9501,290.58,0x0000000000000004
2026/08/2603:27:47.650,81,23390,64,P2,1950,9501,311.05,0x0000000000000004
2026/08/2603:27:52.675,85,23390,66,P2,1935,9501,331.10,0x0000000000000004
2026/08/2603:27:57.701,31,346,58,P2,1695,9501,151.07,0x0000000000000000
2026/08/2603:28:02.723,99,19044,59,P2,1950,9501,161.93,0x0000000000000000
2026/08/2603:28:07.753,100,19044,58,P2,1950,9501,160.11,0x0000000000000000
2026/08/2603:28:12.779,47,22790,60,P2,1950,9501,261.59,0x0000000000000000
2026/08/2603:28:17.801,74,22796,65,P2,1950,9501,316.57,0x0000000000000000
2026/08/2603:28:22.825,76,22796,66,P2,1935,9501,324.68,0x0000000000000000
2026/08/2603:28:27.851,29,346,60,P2,1950,9501,161.96,0x0000000000000000
2026/08/2603:28:32.874,100,18082,60,P2,1950,9501,163.48,0x0000000000000000
2026/08/2603:28:37.905,100,18082,59,P2,1950,9501,162.56,0x0000000000000000
2026/08/2603:28:42.932,63,22332,61,P2,1950,9501,246.96,0x0000000000000000
2026/08/2603:28:47.955,28,22332,65,P2,1935,9501,292.56,0x0000000000000004
2026/08/2603:28:52.978,69,22340,65,P2,1935,9501,283.73,0x0000000000000004
2026/08/2603:28:58.002,70,22340,67,P2,1935,9501,305.91,0x0000000000000004
2026/08/2603:29:03.024,6,346,61,P2,1935,9501,155.83,0x0000000000000000
2026/08/2603:29:08.045,100,20436,60,P2,1950,9501,163.90,0x0000000000000000
2026/08/2603:29:13.075,99,20436,60,P2,1950,9501,162.65,0x0000000000000000
2026/08/2603:29:18.100,85,21858,61,P2,1950,9501,184.84,0x0000000000000000
2026/08/2603:29:23.120,87,21862,62,P2,1950,9501,215.80,0x0000000000000000
2026/08/2603:29:28.141,86,21864,62,P2,1950,9501,223.98,0x0000000000000000
2026/08/2603:29:33.164,87,21864,62,P2,1950,9501,223.66,0x0000000000000000
2026/08/2603:29:38.190,86,21866,63,P2,1950,9501,225.60,0x0000000000000000
2026/08/2603:29:43.212,86,21872,62,P2,1950,9501,232.26,0x0000000000000000
2026/08/2603:29:48.239,84,21872,62,P2,1950,9501,211.77,0x0000000000000000
2026/08/2603:29:53.262,86,21872,63,P2,1950,9501,228.96,0x0000000000000000
2026/08/2603:29:58.285,86,21872,62,P2,1950,9501,217.87,0x0000000000000000
2026/08/2603:30:03.305,88,21872,63,P2,1950,9501,228.67,0x0000000000000000
2026/08/2603:30:08.328,84,21872,64,P2,1950,9501,228.68,0x0000000000000000
2026/08/2603:30:13.348,100,404,62,P2,1950,9501,218.09,0x0000000000000000
2026/08/2603:30:18.370,99,20436,60,P2,1950,9501,153.80,0x0000000000000000
2026/08/2603:30:23.397,100,20436,59,P2,1950,9501,160.09,0x0000000000000000
2026/08/2603:30:28.420,86,21858,61,P2,1950,9501,198.04,0x0000000000000000
2026/08/2603:30:33.442,85,21862,62,P2,1950,9501,223.62,0x0000000000000000
2026/08/2603:30:38.467,86,21864,62,P2,1950,9501,225.57,0x0000000000000000
2026/08/2603:30:43.493,85,21864,62,P2,1950,9501,225.58,0x0000000000000000
2026/08/2603:30:48.516,85,21866,62,P2,1950,9501,225.02,0x0000000000000000
2026/08/2603:30:53.538,85,21872,63,P2,1950,9501,231.53,0x0000000000000000
2026/08/2603:30:58.563,84,21872,63,P2,1950,9501,214.10,0x0000000000000000
2026/08/2603:31:03.588,85,21872,64,P2,1950,9501,231.17,0x0000000000000004
2026/08/2603:31:08.612,87,21872,63,P2,1950,9501,214.86,0x0000000000000000
2026/08/2603:31:13.636,86,21872,63,P2,1950,9501,228.09,0x0000000000000000
2026/08/2603:31:18.656,84,21872,63,P2,1950,9501,229.83,0x0000000000000000
2026/08/2603:31:23.832,0,99,62,P0,1950,9751,191.49,0x0000000000000000
2026/08/2603:31:28.854,99,18082,60,P2,1950,9501,159.95,0x0000000000000000
2026/08/2603:31:33.883,99,18082,60,P2,1950,9501,163.47,0x0000000000000000
2026/08/2603:31:38.910,99,21138,59,P2,1950,9501,164.26,0x0000000000000000
2026/08/2603:31:43.938,72,22332,66,P2,1935,9501,302.29,0x0000000000000004
2026/08/2603:31:48.962,70,22338,66,P2,1935,9501,296.41,0x0000000000000004
2026/08/2603:31:53.986,71,22340,66,P2,1935,9501,270.38,0x0000000000000004
2026/08/2603:31:59.008,100,82,64,P0,1935,9501,247.53,0x0000000000000000
2026/08/2603:32:04.031,100,19044,61,P2,1950,9501,146.87,0x0000000000000000
2026/08/2603:32:09.060,100,19044,61,P2,1950,9501,164.02,0x0000000000000000
2026/08/2603:32:14.089,99,19044,60,P2,1950,9501,163.23,0x0000000000000000
2026/08/2603:32:19.119,78,22790,66,P2,1935,9501,323.37,0x0000000000000004
2026/08/2603:32:24.140,100,22796,62,P2,1935,9501,253.63,0x0000000000000000
2026/08/2603:32:29.164,78,22796,69,P2,1935,9501,329.90,0x0000000000000004
2026/08/2603:32:34.186,0,346,60,P2,1695,9501,138.98,0x0000000000000000
2026/08/2603:32:39.209,100,20144,60,P2,1950,9501,161.02,0x0000000000000000
2026/08/2603:32:44.235,100,20144,60,P2,1950,9501,160.62,0x0000000000000000
2026/08/2603:32:49.266,82,23384,67,P2,1935,9501,330.01,0x0000000000000004
2026/08/2603:32:54.290,83,23390,68,P2,1935,9501,272.06,0x0000000000000004
