ts,util,mem_used,temp,pstate,clk_sm,clk_mem,pwr,throttle
2026/08/2607:58:16.840,0,82,34,P8,210,405,25.31,0x0000000000000001
2026/08/2607:58:21.875,0,82,34,P8,210,405,25.51,0x0000000000000001
2026/08/2607:58:26.903,0,82,34,P8,210,405,25.35,0x0000000000000001
2026/08/2607:58:31.932,0,82,34,P8,210,405,25.28,0x0000000000000001
2026/08/2607:58:36.960,34,346,41,P2,1965,9501,137.05,0x0000000000000000
2026/08/2607:58:41.982,100,16690,43,P2,1965,9501,113.99,0x0000000000000000
2026/08/2607:58:47.011,100,16690,45,P2,1965,9501,150.77,0x0000000000000000
2026/08/2607:58:52.039,0,19712,46,P2,1965,9501,152.72,0x0000000000000000
2026/08/2607:58:57.069,61,19852,54,P2,1980,9501,286.01,0x0000000000000004
2026/08/2607:59:02.091,65,19852,56,P2,1980,9501,273.91,0x0000000000000004
2026/08/2607:59:07.115,60,19864,56,P2,1965,9501,177.51,0x0000000000000000
2026/08/2607:59:12.138,59,19864,58,P2,1965,9501,265.85,0x0000000000000004
2026/08/2607:59:17.162,35,19864,61,P2,1965,9501,285.64,0x0000000000000004
2026/08/2607:59:22.188,64,19864,61,P2,1950,9501,299.42,0x0000000000000004
2026/08/2607:59:27.213,0,82,52,P3,210,5001,83.95,0x0000000000000001
2026/08/2607:59:32.235,0,82,48,P8,210,405,28.66,0x0000000000000001
2026/08/2607:59:37.262,0,346,52,P2,1695,9501,131.95,0x0000000000000000
2026/08/2607:59:42.284,100,20144,54,P2,1980,9501,159.74,0x0000000000000000
2026/08/2607:59:47.314,100,20144,54,P2,1980,9501,159.95,0x0000000000000000
2026/08/2607:59:52.339,78,20816,61,P2,1965,9501,317.54,0x0000000000000000
2026/08/2607:59:57.361,75,20816,62,P2,1950,9501,316.61,0x0000000000000000
2026/08/2608:00:02.384,76,20816,64,P2,1950,9501,277.84,0x0000000000000000
2026/08/2608:00:07.406,37,20824,63,P2,1950,9501,315.47,0x0000000000000000
2026/08/2608:00:12.428,76,20824,66,P2,1950,9501,326.82,0x0000000000000000
2026/08/2608:00:17.453,77,20824,67,P2,1935,9501,322.02,0x0000000000000000
2026/08/2608:00:22.735,0,346,62,P2,1935,9501,173.57,0x0000000000000000
2026/08/2608:00:27.755,100,18082,60,P2,1950,9501,156.84,0x0000000000000000
2026/08/2608:00:32.778,0,20462,59,P2,1950,9501,159.37,0x0000000000000000
2026/08/2608:00:37.798,73,20490,66,P2,1950,9501,305.89,0x0000000000000000
2026/08/2608:00:42.821,70,20490,66,P2,1950,9501,306.27,0x0000000000000000
2026/08/2608:00:47.844,74,20502,66,P2,1935,9501,301.91,0x0000000000000000
2026/08/2608:00:52.868,71,20502,67,P2,1935,9501,305.43,0x0000000000000000
2026/08/2608:00:57.892,72,20502,68,P2,1935,9501,304.70,0x0000000000000000
2026/08/2608:01:02.916,0,346,62,P2,1935,9501,159.15,0x0000000000000000
2026/08/2608:01:07.936,100,17618,61,P2,1950,9501,166.20,0x0000000000000000
