ts,util,mem_used,temp,pstate,clk_sm,clk_mem,pwr,throttle
2026/08/2615:37:11.625,0,82,35,P8,210,405,25.27,0x0000000000000001
2026/08/2615:37:16.658,0,82,35,P8,210,405,25.17,0x0000000000000001
2026/08/2615:37:21.688,0,82,35,P8,210,405,25.01,0x0000000000000001
2026/08/2615:37:26.718,72,20144,41,P2,1695,9501,117.58,0x0000000000000000
2026/08/2615:37:31.747,99,20144,45,P2,1965,9501,149.83,0x0000000000000000
2026/08/2615:37:36.777,100,20144,46,P2,1965,9501,150.93,0x0000000000000000
2026/08/2615:37:41.802,78,20816,55,P2,1980,9501,307.69,0x0000000000000000
2026/08/2615:37:46.824,78,20816,57,P2,1980,9501,316.13,0x0000000000000000
2026/08/2615:37:51.848,77,20816,59,P2,1965,9501,298.77,0x0000000000000000
2026/08/2615:37:56.872,67,20824,57,P2,1935,9501,286.34,0x0000000000000004
2026/08/2615:38:01.896,78,20824,62,P2,1965,9501,319.75,0x0000000000000000
2026/08/2615:38:06.916,75,20824,63,P2,1950,9501,316.50,0x0000000000000000
2026/08/2615:38:11.940,0,346,58,P2,1950,9501,168.68,0x0000000000000000
2026/08/2615:38:16.964,99,19362,57,P2,1965,9501,163.61,0x0000000000000000
2026/08/2615:38:21.991,100,19362,57,P2,1965,9501,163.09,0x0000000000000000
2026/08/2615:38:27.023,82,20502,57,P2,1965,9501,163.58,0x0000000000000000
2026/08/2615:38:32.049,84,20764,58,P2,1965,9501,199.13,0x0000000000000000
2026/08/2615:38:37.072,84,20764,58,P2,1965,9501,199.27,0x0000000000000000
2026/08/2615:38:42.093,83,20764,58,P2,1965,9501,200.05,0x0000000000000000
2026/08/2615:38:47.115,84,20764,58,P2,1965,9501,199.13,0x0000000000000000
2026/08/2615:38:52.140,84,20764,59,P2,1965,9501,201.16,0x0000000000000000
2026/08/2615:38:57.161,84,20764,58,P2,1965,9501,200.80,0x0000000000000000
2026/08/2615:39:02.181,84,20768,59,P2,1965,9501,199.80,0x0000000000000000
2026/08/2615:39:07.205,84,20768,59,P2,1965,9501,200.15,0x0000000000000000
2026/08/2615:39:12.228,84,20768,59,P2,1965,9501,200.82,0x0000000000000000
2026/08/2615:39:17.248,85,20768,59,P2,1965,9501,200.61,0x0000000000000000
2026/08/2615:39:22.272,84,20776,59,P2,1965,9501,190.36,0x0000000000000000
2026/08/2615:39:27.294,82,20776,60,P2,1965,9501,202.07,0x0000000000000000
2026/08/2615:39:32.318,84,20776,60,P2,1965,9501,200.54,0x0000000000000000
2026/08/2615:39:37.340,83,20776,60,P2,1965,9501,202.84,0x0000000000000000
2026/08/2615:39:42.362,83,20776,60,P2,1965,9501,200.58,0x0000000000000000
2026/08/2615:39:47.385,85,20776,61,P2,1965,9501,202.01,0x0000000000000000
2026/08/2615:39:52.407,81,20776,60,P2,1965,9501,200.09,0x0000000000000000
2026/08/2615:39:57.429,85,20776,61,P2,1965,9501,202.90,0x0000000000000000
2026/08/2615:40:02.452,83,20776,61,P2,1965,9501,203.02,0x0000000000000000
2026/08/2615:40:07.473,82,20776,61,P2,1965,9501,203.52,0x0000000000000000
2026/08/2615:40:12.494,83,20776,61,P2,1965,9501,202.62,0x0000000000000000
2026/08/2615:40:17.517,84,20776,61,P2,1965,9501,203.12,0x0000000000000000
2026/08/2615:40:22.540,84,20776,61,P2,1965,9501,202.74,0x0000000000000000
2026/08/2615:40:27.563,8,346,59,P2,1695,9501,160.93,0x0000000000000000
2026/08/2615:40:32.588,100,19362,59,P2,1965,9501,164.84,0x0000000000000000
2026/08/2615:40:37.618,100,19362,59,P2,1965,9501,164.24,0x0000000000000000
2026/08/2615:40:42.646,81,20768,62,P2,1965,9501,227.48,0x0000000000000000
2026/08/2615:40:47.670,84,20770,62,P2,1950,9501,221.68,0x0000000000000000
2026/08/2615:40:52.690,40,20774,62,P2,1950,9501,215.91,0x0000000000000000
2026/08/2615:40:57.713,82,20774,63,P2,1950,9501,229.68,0x0000000000000004
2026/08/2615:41:02.735,56,20774,62,P2,1950,9501,217.72,0x0000000000000000
2026/08/2615:41:07.757,81,20774,64,P2,1950,9501,228.20,0x0000000000000000
2026/08/2615:41:12.779,82,20774,64,P2,1950,9501,223.24,0x0000000000000000
2026/08/2615:41:17.799,84,20774,64,P2,1950,9501,228.78,0x0000000000000000
2026/08/2615:41:22.822,81,20774,64,P2,1950,9501,231.11,0x0000000000000000
2026/08/2615:41:27.848,79,20774,64,P2,1950,9501,231.24,0x0000000000000000
2026/08/2615:41:32.872,81,20774,64,P2,1950,9501,228.34,0x0000000000000000
2026/08/2615:41:37.894,83,20780,64,P2,1950,9501,233.40,0x0000000000000000
2026/08/2615:41:42.913,84,20780,65,P2,1950,9501,217.76,0x0000000000000000
2026/08/2615:41:47.934,83,20780,65,P2,1950,9501,228.03,0x0000000000000000
2026/08/2615:41:52.954,85,20780,65,P2,1950,9501,219.74,0x0000000000000004
2026/08/2615:41:57.976,83,20780,65,P2,1950,9501,230.24,0x0000000000000000
2026/08/2615:42:02.999,81,20780,65,P2,1950,9501,230.40,0x0000000000000000
2026/08/2615:42:08.019,81,20780,65,P2,1950,9501,227.76,0x0000000000000000
2026/08/2615:42:13.043,84,20780,65,P2,1950,9501,233.61,0x0000000000000000
2026/08/2615:42:18.066,87,20780,65,P2,1935,9501,228.78,0x0000000000000004
2026/08/2615:42:23.095,77,20780,65,P2,1950,9501,227.25,0x0000000000000000
2026/08/2615:42:28.118,82,20780,66,P2,1950,9501,232.41,0x0000000000000000
2026/08/2615:42:33.141,74,20052,64,P2,1950,9501,233.40,0x0000000000000004
2026/08/2615:42:38.163,100,19044,61,P2,1950,9501,135.02,0x0000000000000000
2026/08/2615:42:43.191,100,19044,61,P2,1950,9501,164.65,0x0000000000000000
2026/08/2615:42:48.223,18,22218,60,P2,1950,9501,165.93,0x0000000000000000
2026/08/2615:42:53.242,76,22270,69,P2,1935,9501,328.45,0x0000000000000004
2026/08/2615:42:58.265,21,22286,66,P2,1935,9501,317.03,0x0000000000000004
2026/08/2615:43:03.289,76,22292,68,P2,1935,9501,297.24,0x0000000000000004
2026/08/2615:43:08.311,74,22292,71,P2,1935,9501,303.12,0x0000000000000004
2026/08/2615:43:13.334,76,22292,72,P2,1935,9501,302.80,0x0000000000000004
2026/08/2615:43:18.358,0,346,62,P2,1695,9501,148.44,0x0000000000000000
2026/08/2615:43:23.380,100,18082,62,P2,1950,9501,168.96,0x0000000000000000
2026/08/2615:43:28.409,100,18082,61,P2,1950,9501,167.32,0x0000000000000000
2026/08/2615:43:33.434,69,21812,68,P2,1935,9501,305.78,0x0000000000000004
2026/08/2615:43:38.458,74,21828,69,P2,1935,9501,308.87,0x0000000000000004
2026/08/2615:43:43.483,67,21834,68,P2,1935,9501,264.75,0x0000000000000004
2026/08/2615:43:48.506,69,21834,70,P2,1935,9501,304.80,0x0000000000000004
2026/08/2615:43:53.529,69,21834,70,P2,1935,9501,318.25,0x0000000000000004
2026/08/2615:43:58.553,19,346,64,P2,1935,9501,176.36,0x0000000000000000
2026/08/2615:44:03.576,100,17618,62,P2,1950,9501,167.56,0x0000000000000000
2026/08/2615:44:08.600,99,17618,61,P2,1950,9501,167.71,0x0000000000000000
2026/08/2615:44:13.627,70,20276,66,P2,1950,9501,307.91,0x0000000000000004
2026/08/2615:44:18.648,69,20276,68,P2,1935,9501,316.69,0x0000000000000000
2026/08/2615:44:23.671,71,20276,68,P2,1935,9501,310.33,0x0000000000000000
2026/08/2615:44:28.695,71,20288,69,P2,1935,9501,312.22,0x0000000000000000
2026/08/2615:44:33.718,69,20288,70,P2,1935,9501,315.25,0x0000000000000004
2026/08/2615:44:38.742,71,20288,71,P2,1935,9501,318.55,0x0000000000000004
2026/08/2615:44:43.765,99,20144,63,P2,1950,9501,154.88,0x0000000000000000
2026/08/2615:44:48.792,100,20144,61,P2,1950,9501,165.52,0x0000000000000000
2026/08/2615:44:53.818,87,20816,63,P2,1950,9501,228.96,0x0000000000000004
2026/08/2615:44:58.841,78,20816,68,P2,1935,9501,326.59,0x0000000000000004
2026/08/2615:45:03.864,75,20816,68,P2,1935,9501,270.01,0x0000000000000000
2026/08/2615:45:08.885,72,20816,69,P2,1935,9501,305.04,0x0000000000000004
2026/08/2615:45:13.908,79,20824,66,P2,1935,9501,264.03,0x0000000000000000
2026/08/2615:45:18.930,62,20824,67,P2,1935,9501,263.05,0x0000000000000004
2026/08/2615:45:23.951,75,20824,70,P2,1935,9501,287.05,0x0000000000000000
2026/08/2615:45:28.974,76,20824,72,P2,1935,9501,315.47,0x0000000000000004
2026/08/2615:45:33.994,0,346,64,P2,1935,9501,166.33,0x0000000000000000
2026/08/2615:45:39.014,100,20144,62,P2,1950,9501,166.83,0x0000000000000000
2026/08/2615:45:44.044,99,20144,61,P2,1950,9501,165.56,0x0000000000000000
2026/08/2615:45:49.071,72,20818,66,P2,1935,9501,287.49,0x0000000000000000
2026/08/2615:45:54.095,79,20822,69,P2,1935,9501,328.72,0x0000000000000004
2026/08/2615:45:59.120,100,20824,66,P2,1920,9501,262.54,0x0000000000000004
2026/08/2615:46:04.145,74,20824,70,P2,1935,9501,330.39,0x0000000000000004
2026/08/2615:46:09.167,77,20824,71,P2,1935,9501,295.65,0x0000000000000004
2026/08/2615:46:14.188,79,20824,72,P2,1935,9501,335.55,0x0000000000000004
2026/08/2615:46:19.209,77,20824,72,P2,1920,9501,294.22,0x0000000000000004
2026/08/2615:46:24.230,0,346,63,P2,1695,9501,151.69,0x0000000000000000
2026/08/2615:46:29.251,100,20144,62,P2,1950,9501,165.79,0x0000000000000000
2026/08/2615:46:34.281,76,20816,67,P2,1935,9501,285.47,0x0000000000000000
2026/08/2615:46:39.306,78,20820,67,P2,1935,9501,272.73,0x0000000000000000
2026/08/2615:46:44.328,77,20820,71,P2,1935,9501,329.83,0x0000000000000004
2026/08/2615:46:49.349,70,20826,70,P2,1935,9501,324.26,0x0000000000000004
2026/08/2615:46:54.373,78,20826,72,P2,1935,9501,296.78,0x0000000000000004
2026/08/2615:46:59.395,26,20826,72,P2,1920,9501,315.90,0x0000000000000004
2026/08/2615:47:04.420,75,20826,74,P2,1920,9501,333.93,0x0000000000000004
2026/08/2615:47:09.442,100,19362,62,P2,1695,9501,134.80,0x0000000000000000
2026/08/2615:47:14.470,100,19362,63,P2,1950,9501,169.94,0x0000000000000000
2026/08/2615:47:19.498,98,20502,62,P2,1950,9501,170.26,0x0000000000000000
2026/08/2615:47:24.528,84,20764,63,P2,1950,9501,205.18,0x0000000000000000
2026/08/2615:47:29.551,83,20764,62,P2,1950,9501,204.50,0x0000000000000000
2026/08/2615:47:34.574,83,20764,62,P2,1950,9501,204.51,0x0000000000000000
2026/08/2615:47:39.596,84,20764,61,P2,1950,9501,203.61,0x0000000000000000
2026/08/2615:47:44.618,83,20764,61,P2,1950,9501,203.78,0x0000000000000000
2026/08/2615:47:49.643,86,20764,61,P2,1950,9501,203.77,0x0000000000000000
2026/08/2615:47:54.665,85,20768,61,P2,1950,9501,203.62,0x0000000000000000
2026/08/2615:47:59.689,82,20768,61,P2,1950,9501,202.74,0x0000000000000000
2026/08/2615:48:04.710,84,20768,61,P2,1950,9501,197.65,0x0000000000000000
2026/08/2615:48:09.733,83,20768,61,P2,1950,9501,202.06,0x0000000000000000
2026/08/2615:48:14.754,84,20776,60,P2,1950,9501,192.54,0x0000000000000000
2026/08/2615:48:19.778,82,20776,60,P2,1950,9501,200.84,0x0000000000000000
2026/08/2615:48:24.801,84,20776,60,P2,1950,9501,200.75,0x0000000000000000
2026/08/2615:48:29.825,84,20776,60,P2,1950,9501,202.70,0x0000000000000000
2026/08/2615:48:34.846,67,20776,60,P2,1950,9501,201.83,0x0000000000000000
2026/08/2615:48:39.869,84,20776,60,P2,1950,9501,202.23,0x0000000000000000
2026/08/2615:48:44.890,86,20776,60,P2,1950,9501,198.91,0x0000000000000000
2026/08/2615:48:49.910,85,20776,60,P2,1950,9501,200.68,0x0000000000000000
2026/08/2615:48:54.933,84,20776,60,P2,1950,9501,202.35,0x0000000000000000
2026/08/2615:48:59.955,84,20776,60,P2,1950,9501,201.32,0x0000000000000000
2026/08/2615:49:04.976,86,20776,60,P2,1950,9501,200.64,0x0000000000000000
2026/08/2615:49:09.996,84,20776,60,P2,1950,9501,201.13,0x0000000000000000
2026/08/2615:49:15.016,82,20776,60,P2,1950,9501,201.70,0x0000000000000000
2026/08/2615:49:20.039,6,346,58,P2,1695,9501,152.73,0x0000000000000000
