timestamp, index, memory.used [MiB], utilization.gpu [%], clocks.current.graphics [MHz], clocks.current.sm [MHz], power.draw [W], temperature.gpu, pstate, clocks_event_reasons.active
2026/08/26 20:44:03.143, 0, 82 MiB, 0 %, 1950 MHz, 1950 MHz, 172.31 W, 60, P0, 0x0000000000000000
2026/08/26 20:44:04.145, 0, 82 MiB, 0 %, 1950 MHz, 1950 MHz, 168.97 W, 60, P0, 0x0000000000000001
2026/08/26 20:44:05.145, 0, 82 MiB, 0 %, 1950 MHz, 1950 MHz, 160.54 W, 60, P3, 0x0000000000000001
2026/08/26 20:44:06.146, 0, 82 MiB, 0 %, 300 MHz, 300 MHz, 128.95 W, 56, P5, 0x0000000000000001
2026/08/26 20:44:07.146, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 84.83 W, 55, P5, 0x0000000000000001
2026/08/26 20:44:08.146, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 56.07 W, 54, P8, 0x0000000000000001
2026/08/26 20:44:09.146, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 38.62 W, 53, P8, 0x0000000000000001
2026/08/26 20:44:10.146, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 33.47 W, 51, P8, 0x0000000000000001
2026/08/26 20:44:11.146, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 30.59 W, 51, P8, 0x0000000000000001
2026/08/26 20:44:12.147, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 30.81 W, 51, P8, 0x0000000000000001
2026/08/26 20:44:13.147, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 30.52 W, 50, P8, 0x0000000000000001
2026/08/26 20:44:14.147, 0, 85 MiB, 0 %, 210 MHz, 210 MHz, 30.05 W, 50, P8, 0x0000000000000001
2026/08/26 20:44:15.490, 0, 346 MiB, 0 %, 1980 MHz, 1980 MHz, 96.53 W, 55, P2, 0x0000000000000000
2026/08/26 20:44:16.490, 0, 346 MiB, 7 %, 1980 MHz, 1980 MHz, 159.90 W, 56, P2, 0x0000000000000000
2026/08/26 20:44:17.491, 0, 346 MiB, 8 %, 1695 MHz, 1695 MHz, 158.02 W, 56, P2, 0x0000000000000000
2026/08/26 20:44:18.491, 0, 20144 MiB, 100 %, 1695 MHz, 1695 MHz, 125.04 W, 54, P2, 0x0000000000000000
2026/08/26 20:44:19.491, 0, 20144 MiB, 100 %, 1980 MHz, 1980 MHz, 156.22 W, 56, P2, 0x0000000000000000
2026/08/26 20:44:20.491, 0, 20144 MiB, 100 %, 1965 MHz, 1965 MHz, 161.77 W, 56, P2, 0x0000000000000000
2026/08/26 20:44:21.491, 0, 20144 MiB, 100 %, 1965 MHz, 1965 MHz, 160.94 W, 56, P2, 0x0000000000000000
2026/08/26 20:44:22.491, 0, 20144 MiB, 100 %, 1965 MHz, 1965 MHz, 160.53 W, 56, P2, 0x0000000000000000
2026/08/26 20:44:23.491, 0, 20144 MiB, 99 %, 1965 MHz, 1965 MHz, 161.04 W, 56, P2, 0x0000000000000000
2026/08/26 20:44:24.492, 0, 20144 MiB, 100 %, 1965 MHz, 1965 MHz, 161.44 W, 57, P2, 0x0000000000000000
2026/08/26 20:44:25.492, 0, 20144 MiB, 100 %, 1965 MHz, 1965 MHz, 161.30 W, 57, P2, 0x0000000000000000
2026/08/26 20:44:26.492, 0, 20144 MiB, 100 %, 1965 MHz, 1965 MHz, 161.08 W, 57, P2, 0x0000000000000000
2026/08/26 20:44:27.492, 0, 20144 MiB, 99 %, 1965 MHz, 1965 MHz, 161.14 W, 57, P2, 0x0000000000000000
2026/08/26 20:44:28.492, 0, 20144 MiB, 100 %, 1965 MHz, 1965 MHz, 161.38 W, 57, P2, 0x0000000000000000
2026/08/26 20:44:29.492, 0, 20144 MiB, 100 %, 1965 MHz, 1965 MHz, 161.50 W, 56, P2, 0x0000000000000000
2026/08/26 20:44:30.494, 0, 20816 MiB, 2 %, 1950 MHz, 1950 MHz, 182.56 W, 58, P2, 0x0000000000000004
2026/08/26 20:44:31.494, 0, 20816 MiB, 79 %, 1950 MHz, 1950 MHz, 311.93 W, 63, P2, 0x0000000000000000
2026/08/26 20:44:32.495, 0, 20816 MiB, 73 %, 1950 MHz, 1950 MHz, 315.58 W, 63, P2, 0x0000000000000000
2026/08/26 20:44:33.495, 0, 20816 MiB, 78 %, 1950 MHz, 1950 MHz, 285.72 W, 63, P2, 0x0000000000000000
2026/08/26 20:44:34.495, 0, 20816 MiB, 78 %, 1950 MHz, 1950 MHz, 318.26 W, 64, P2, 0x0000000000000000
2026/08/26 20:44:35.495, 0, 20816 MiB, 76 %, 1950 MHz, 1950 MHz, 316.33 W, 65, P2, 0x0000000000000000
2026/08/26 20:44:36.495, 0, 20816 MiB, 42 %, 1950 MHz, 1950 MHz, 281.83 W, 64, P2, 0x0000000000000000
2026/08/26 20:44:37.495, 0, 20816 MiB, 77 %, 1950 MHz, 1950 MHz, 318.20 W, 65, P2, 0x0000000000000000
2026/08/26 20:44:38.495, 0, 20816 MiB, 77 %, 1950 MHz, 1950 MHz, 321.01 W, 66, P2, 0x0000000000000000
2026/08/26 20:44:39.495, 0, 20816 MiB, 46 %, 1950 MHz, 1950 MHz, 277.32 W, 66, P2, 0x0000000000000000
2026/08/26 20:44:40.496, 0, 20816 MiB, 77 %, 1950 MHz, 1950 MHz, 324.61 W, 66, P2, 0x0000000000000000
2026/08/26 20:44:41.496, 0, 20816 MiB, 74 %, 1950 MHz, 1950 MHz, 325.70 W, 66, P2, 0x0000000000000000
2026/08/26 20:44:42.496, 0, 20816 MiB, 74 %, 1950 MHz, 1950 MHz, 285.00 W, 66, P2, 0x0000000000000000
2026/08/26 20:44:43.496, 0, 20816 MiB, 78 %, 1935 MHz, 1935 MHz, 323.25 W, 67, P2, 0x0000000000000000
2026/08/26 20:44:44.496, 0, 20816 MiB, 76 %, 1935 MHz, 1935 MHz, 321.13 W, 67, P2, 0x0000000000000000
2026/08/26 20:44:45.496, 0, 20824 MiB, 100 %, 1935 MHz, 1935 MHz, 254.71 W, 66, P2, 0x0000000000000000
2026/08/26 20:44:46.496, 0, 20824 MiB, 80 %, 1935 MHz, 1935 MHz, 327.72 W, 68, P2, 0x0000000000000000
2026/08/26 20:44:47.497, 0, 20824 MiB, 80 %, 1935 MHz, 1935 MHz, 328.78 W, 68, P2, 0x0000000000000000
2026/08/26 20:44:48.497, 0, 20824 MiB, 75 %, 1935 MHz, 1935 MHz, 288.30 W, 68, P2, 0x0000000000000000
2026/08/26 20:44:49.497, 0, 20824 MiB, 77 %, 1935 MHz, 1935 MHz, 326.13 W, 68, P2, 0x0000000000000000
2026/08/26 20:44:50.497, 0, 20824 MiB, 78 %, 1935 MHz, 1935 MHz, 326.33 W, 69, P2, 0x0000000000000000
2026/08/26 20:44:51.497, 0, 20824 MiB, 78 %, 1935 MHz, 1935 MHz, 297.23 W, 68, P2, 0x0000000000000000
