ts,util,mem_used,temp,pstate,clk_sm,clk_mem,pwr,throttle
2026/08/27 17:50:58.045, 0 %, 82 MiB, 35, P8, 210 MHz, 405 MHz, 26.08 W, 0x0000000000000001
2026/08/27 17:51:03.067, 0 %, 82 MiB, 35, P8, 210 MHz, 405 MHz, 25.96 W, 0x0000000000000001
2026/08/27 17:51:08.092, 0 %, 82 MiB, 35, P8, 210 MHz, 405 MHz, 26.09 W, 0x0000000000000001
2026/08/27 17:51:13.115, 0 %, 82 MiB, 35, P8, 210 MHz, 405 MHz, 25.99 W, 0x0000000000000001
2026/08/27 17:51:18.137, 0 %, 346 MiB, 39, P2, 1725 MHz, 9751 MHz, 39.20 W, 0x0000000000000000
2026/08/27 17:51:23.156, 0 %, 346 MiB, 42, P2, 1695 MHz, 9501 MHz, 113.41 W, 0x0000000000000000
2026/08/27 17:51:28.176, 100 %, 20144 MiB, 46, P2, 1965 MHz, 9501 MHz, 142.43 W, 0x0000000000000000
2026/08/27 17:51:33.203, 100 %, 20144 MiB, 47, P2, 1965 MHz, 9501 MHz, 152.83 W, 0x0000000000000000
2026/08/27 17:51:38.228, 100 %, 20144 MiB, 48, P2, 1965 MHz, 9501 MHz, 153.48 W, 0x0000000000000000
2026/08/27 17:51:43.253, 77 %, 20816 MiB, 56, P2, 1965 MHz, 9501 MHz, 275.60 W, 0x0000000000000000
2026/08/27 17:51:48.274, 54 %, 20816 MiB, 57, P2, 1965 MHz, 9501 MHz, 311.02 W, 0x0000000000000000
2026/08/27 17:51:53.297, 77 %, 20816 MiB, 60, P2, 1950 MHz, 9501 MHz, 315.99 W, 0x0000000000000000
2026/08/27 17:51:58.317, 77 %, 20824 MiB, 62, P2, 1950 MHz, 9501 MHz, 292.77 W, 0x0000000000000000
2026/08/27 17:52:03.337, 76 %, 20824 MiB, 62, P2, 1950 MHz, 9501 MHz, 281.59 W, 0x0000000000000004
2026/08/27 17:52:08.355, 77 %, 20824 MiB, 64, P2, 1950 MHz, 9501 MHz, 318.75 W, 0x0000000000000000
2026/08/27 17:52:13.372, 0 %, 82 MiB, 59, P0, 1950 MHz, 9751 MHz, 163.44 W, 0x0000000000000000
