ts,util,mem_used,temp,pstate,clk_sm,clk_mem,pwr,throttle
2026/08/2618:26:39.159,0,82,34,P8,210,405,25.50,0x0000000000000001
2026/08/2618:26:44.191,0,82,34,P8,210,405,25.28,0x0000000000000001
2026/08/2618:26:49.230,0,82,34,P8,210,405,25.46,0x0000000000000001
2026/08/2618:26:54.290,100,20144,43,P2,1965,9501,148.82,0x0000000000000000
2026/08/2618:26:59.317,100,20144,45,P2,1965,9501,150.01,0x0000000000000000
2026/08/2618:27:04.345,20,20800,47,P2,1965,9501,152.38,0x0000000000000000
2026/08/2618:27:09.365,80,20816,55,P2,1980,9501,313.13,0x0000000000000000
2026/08/2618:27:14.385,79,20816,58,P2,1965,9501,305.07,0x0000000000000000
2026/08/2618:27:19.409,70,20824,54,P2,1965,9501,250.17,0x0000000000000004
2026/08/2618:27:24.432,79,20824,61,P2,1965,9501,319.89,0x0000000000000000
2026/08/2618:27:29.455,76,20824,62,P2,1950,9501,314.73,0x0000000000000000
2026/08/2618:27:34.476,76,20824,63,P2,1950,9501,307.23,0x0000000000000000
2026/08/2618:27:39.497,0,346,56,P2,1695,9501,141.07,0x0000000000000000
2026/08/2618:27:44.519,100,19362,57,P2,1965,9501,162.99,0x0000000000000000
2026/08/2618:27:49.545,100,19362,56,P2,1965,9501,162.63,0x0000000000000000
2026/08/2618:27:54.572,80,20768,59,P2,1965,9501,225.09,0x0000000000000000
2026/08/2618:27:59.592,83,20770,59,P2,1965,9501,223.93,0x0000000000000000
2026/08/2618:28:04.614,82,20774,60,P2,1965,9501,213.68,0x0000000000000000
2026/08/2618:28:09.636,83,20774,60,P2,1965,9501,229.05,0x0000000000000000
2026/08/2618:28:14.661,82,20774,60,P2,1965,9501,214.16,0x0000000000000000
2026/08/2618:28:19.683,82,20774,61,P2,1965,9501,227.69,0x0000000000000000
2026/08/2618:28:24.703,84,20774,61,P2,1965,9501,225.74,0x0000000000000000
2026/08/2618:28:29.727,81,20774,62,P2,1950,9501,229.52,0x0000000000000000
2026/08/2618:28:34.749,84,20774,61,P2,1950,9501,227.11,0x0000000000000000
2026/08/2618:28:39.769,81,20774,62,P2,1950,9501,227.87,0x0000000000000000
2026/08/2618:28:44.794,79,20774,62,P2,1950,9501,226.26,0x0000000000000000
2026/08/2618:28:49.816,78,20780,63,P2,1950,9501,228.97,0x0000000000000000
2026/08/2618:28:54.837,83,20780,62,P2,1950,9501,216.49,0x0000000000000000
2026/08/2618:28:59.860,83,20780,63,P2,1950,9501,224.71,0x0000000000000000
2026/08/2618:29:04.885,81,20780,63,P2,1950,9501,219.59,0x0000000000000000
2026/08/2618:29:09.906,80,20780,64,P2,1950,9501,227.80,0x0000000000000000
2026/08/2618:29:14.930,81,20780,64,P2,1950,9501,229.16,0x0000000000000000
2026/08/2618:29:19.952,83,20780,64,P2,1950,9501,227.53,0x0000000000000000
2026/08/2618:29:24.975,84,20780,64,P2,1950,9501,228.84,0x0000000000000000
2026/08/2618:29:30.000,83,20780,64,P2,1950,9501,227.55,0x0000000000000000
2026/08/2618:29:35.025,85,20780,64,P2,1950,9501,224.25,0x0000000000000000
2026/08/2618:29:40.048,83,20780,64,P2,1950,9501,230.12,0x0000000000000000
2026/08/2618:29:45.072,100,402,63,P2,1950,9501,213.61,0x0000000000000000
2026/08/2618:29:50.092,99,19044,60,P2,1950,9501,139.52,0x0000000000000000
2026/08/2618:29:55.115,99,19044,59,P2,1950,9501,154.33,0x0000000000000000
2026/08/2618:30:00.140,77,22270,67,P2,1935,9501,324.50,0x0000000000000004
2026/08/2618:30:05.163,75,22286,69,P2,1935,9501,326.62,0x0000000000000004
2026/08/2618:30:10.188,77,22292,69,P2,1935,9501,329.05,0x0000000000000004
2026/08/2618:30:15.212,57,22292,67,P2,1935,9501,305.50,0x0000000000000004
2026/08/2618:30:20.236,76,22292,70,P2,1935,9501,301.58,0x0000000000000004
2026/08/2618:30:25.260,0,346,62,P2,1695,9501,159.24,0x0000000000000000
2026/08/2618:30:30.287,100,19362,62,P2,1950,9501,169.35,0x0000000000000000
2026/08/2618:30:35.316,100,19362,61,P2,1950,9501,166.71,0x0000000000000000
2026/08/2618:30:40.343,83,20770,63,P2,1950,9501,230.81,0x0000000000000000
2026/08/2618:30:45.365,80,20770,63,P2,1950,9501,233.19,0x0000000000000000
2026/08/2618:30:50.387,82,20774,63,P2,1950,9501,229.81,0x0000000000000000
2026/08/2618:30:55.411,82,20774,63,P2,1950,9501,227.35,0x0000000000000000
2026/08/2618:31:00.432,84,20774,63,P2,1950,9501,230.45,0x0000000000000000
2026/08/2618:31:05.454,82,20774,63,P2,1950,9501,227.34,0x0000000000000000
2026/08/2618:31:10.478,80,20774,63,P2,1950,9501,230.37,0x0000000000000000
2026/08/2618:31:15.501,84,20774,63,P2,1950,9501,226.22,0x0000000000000000
2026/08/2618:31:20.524,84,20774,63,P2,1950,9501,228.19,0x0000000000000000
2026/08/2618:31:25.546,83,20774,63,P2,1950,9501,228.25,0x0000000000000000
2026/08/2618:31:30.568,81,20774,62,P2,1950,9501,229.50,0x0000000000000000
2026/08/2618:31:35.588,85,20780,63,P2,1950,9501,230.17,0x0000000000000000
2026/08/2618:31:40.611,83,20780,62,P2,1950,9501,231.33,0x0000000000000000
2026/08/2618:31:45.636,82,20780,63,P2,1950,9501,226.19,0x0000000000000000
2026/08/2618:31:50.661,84,20780,63,P2,1950,9501,226.79,0x0000000000000000
2026/08/2618:31:55.684,85,20780,63,P2,1950,9501,232.99,0x0000000000000000
2026/08/2618:32:00.704,79,20780,63,P2,1950,9501,229.55,0x0000000000000000
2026/08/2618:32:05.729,83,20780,63,P2,1950,9501,226.73,0x0000000000000000
2026/08/2618:32:10.753,85,20780,63,P2,1950,9501,230.33,0x0000000000000000
2026/08/2618:32:15.777,83,20780,63,P2,1950,9501,228.60,0x0000000000000000
2026/08/2618:32:20.801,82,20780,63,P2,1950,9501,216.69,0x0000000000000004
2026/08/2618:32:25.824,84,20780,63,P2,1950,9501,227.77,0x0000000000000000
2026/08/2618:32:30.847,0,346,60,P2,1950,9501,166.74,0x0000000000000000
2026/08/2618:32:35.872,100,19044,59,P2,1950,9501,155.42,0x0000000000000000
2026/08/2618:32:40.898,5,22234,59,P2,1950,9501,158.33,0x0000000000000000
2026/08/2618:32:45.920,74,22270,65,P2,1950,9501,298.83,0x0000000000000004
2026/08/2618:32:50.946,75,22286,67,P2,1935,9501,289.46,0x0000000000000004
2026/08/2618:32:55.971,76,22292,68,P2,1935,9501,295.22,0x0000000000000004
2026/08/2618:33:00.995,78,22292,69,P2,1935,9501,325.51,0x0000000000000004
2026/08/2618:33:06.020,77,22292,70,P2,1935,9501,329.49,0x0000000000000004
2026/08/2618:33:11.043,100,20144,61,P2,1950,9501,134.15,0x0000000000000000
2026/08/2618:33:16.072,100,20144,61,P2,1950,9501,156.88,0x0000000000000000
2026/08/2618:33:21.096,78,20816,67,P2,1935,9501,294.56,0x0000000000000000
2026/08/2618:33:26.117,80,20816,69,P2,1935,9501,329.41,0x0000000000000000
2026/08/2618:33:31.141,76,20816,70,P2,1935,9501,327.47,0x0000000000000000
2026/08/2618:33:36.164,78,20824,71,P2,1935,9501,295.21,0x0000000000000004
2026/08/2618:33:41.187,75,20824,68,P2,1920,9501,295.71,0x0000000000000004
2026/08/2618:33:46.210,80,20824,73,P2,1920,9501,333.71,0x0000000000000004
2026/08/2618:33:51.233,0,346,66,P2,1935,9501,175.25,0x0000000000000000
2026/08/2618:33:56.253,99,19044,63,P2,1950,9501,170.54,0x0000000000000000
2026/08/2618:34:01.284,99,19044,61,P2,1950,9501,159.69,0x0000000000000000
2026/08/2618:34:06.307,75,22270,69,P2,1935,9501,327.13,0x0000000000000000
2026/08/2618:34:11.330,79,22286,69,P2,1935,9501,331.86,0x0000000000000004
2026/08/2618:34:16.354,77,22292,70,P2,1935,9501,326.85,0x0000000000000004
2026/08/2618:34:21.380,66,22292,69,P2,1935,9501,312.75,0x0000000000000004
2026/08/2618:34:26.405,72,22292,70,P2,1935,9501,300.32,0x0000000000000004
2026/08/2618:34:31.430,0,346,64,P2,1935,9501,170.04,0x0000000000000000
2026/08/2618:34:36.451,99,20144,62,P2,1950,9501,164.53,0x0000000000000000
2026/08/2618:34:41.475,80,20816,67,P2,1935,9501,279.53,0x0000000000000000
2026/08/2618:34:46.499,73,20816,68,P2,1935,9501,295.21,0x0000000000000000
2026/08/2618:34:51.523,79,20816,70,P2,1935,9501,330.90,0x0000000000000004
2026/08/2618:34:56.547,75,20824,71,P2,1935,9501,328.87,0x0000000000000004
2026/08/2618:35:01.572,77,20824,72,P2,1935,9501,301.52,0x0000000000000004
2026/08/2618:35:06.593,32,20824,70,P2,1920,9501,325.42,0x0000000000000000
2026/08/2618:35:11.616,77,20824,73,P2,1920,9501,332.81,0x0000000000000000
2026/08/2618:35:16.642,100,19362,62,P2,1695,9501,135.33,0x0000000000000000
2026/08/2618:35:21.671,100,19362,62,P2,1935,9501,169.83,0x0000000000000000
2026/08/2618:35:26.699,99,19362,61,P2,1950,9501,169.79,0x0000000000000000
2026/08/2618:35:31.726,84,20770,64,P2,1950,9501,231.19,0x0000000000000000
2026/08/2618:35:36.749,81,20774,64,P2,1950,9501,233.39,0x0000000000000000
2026/08/2618:35:41.773,80,20774,64,P2,1950,9501,231.80,0x0000000000000000
2026/08/2618:35:46.797,81,20774,63,P2,1950,9501,230.05,0x0000000000000000
2026/08/2618:35:51.821,83,20774,63,P2,1950,9501,228.87,0x0000000000000000
2026/08/2618:35:56.841,82,20774,63,P2,1950,9501,228.40,0x0000000000000000
2026/08/2618:36:01.861,65,20774,62,P2,1950,9501,219.54,0x0000000000000000
2026/08/2618:36:06.881,82,20774,63,P2,1950,9501,227.89,0x0000000000000000
2026/08/2618:36:11.903,84,20774,63,P2,1950,9501,227.63,0x0000000000000000
2026/08/2618:36:16.925,85,20774,64,P2,1950,9501,230.80,0x0000000000000000
2026/08/2618:36:21.949,66,20778,63,P2,1950,9501,216.49,0x0000000000000000
2026/08/2618:36:26.972,83,20780,63,P2,1950,9501,229.18,0x0000000000000000
2026/08/2618:36:31.992,82,20780,63,P2,1950,9501,234.07,0x0000000000000004
2026/08/2618:36:37.012,79,20780,63,P2,1950,9501,230.93,0x0000000000000000
2026/08/2618:36:42.036,78,20780,62,P2,1950,9501,230.24,0x0000000000000000
2026/08/2618:36:47.059,84,20780,63,P2,1950,9501,232.03,0x0000000000000000
2026/08/2618:36:52.083,83,20780,63,P2,1950,9501,227.31,0x0000000000000000
2026/08/2618:36:57.105,81,20780,63,P2,1950,9501,227.02,0x0000000000000000
2026/08/2618:37:02.126,84,20780,63,P2,1950,9501,230.49,0x0000000000000000
2026/08/2618:37:07.148,84,20780,62,P2,1950,9501,229.10,0x0000000000000000
2026/08/2618:37:12.172,84,20780,62,P2,1950,9501,221.08,0x0000000000000000
