timestamp, index, memory.used [MiB], utilization.gpu [%], clocks.current.graphics [MHz], clocks.current.sm [MHz], power.draw [W], temperature.gpu, pstate, clocks_event_reasons.active
2026/08/26 22:12:14.277, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 29.73 W, 49, P8, 0x0000000000000001
2026/08/26 22:12:15.283, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 29.60 W, 49, P8, 0x0000000000000001
2026/08/26 22:12:16.284, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 29.52 W, 49, P8, 0x0000000000000001
2026/08/26 22:12:17.284, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 29.33 W, 49, P8, 0x0000000000000001
2026/08/26 22:12:18.284, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 28.94 W, 48, P8, 0x0000000000000001
2026/08/26 22:12:19.284, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 28.73 W, 48, P8, 0x0000000000000001
2026/08/26 22:12:20.284, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 28.65 W, 48, P8, 0x0000000000000001
2026/08/26 22:12:21.285, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 28.64 W, 47, P8, 0x0000000000000001
2026/08/26 22:12:22.285, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 28.41 W, 47, P8, 0x0000000000000001
2026/08/26 22:12:23.285, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 28.43 W, 47, P8, 0x0000000000000001
2026/08/26 22:12:24.285, 0, 85 MiB, 0 %, 210 MHz, 210 MHz, 28.54 W, 47, P8, 0x0000000000000001
2026/08/26 22:12:25.396, 0, 346 MiB, 0 %, 1950 MHz, 1950 MHz, 122.26 W, 53, P2, 0x0000000000000000
2026/08/26 22:12:26.396, 0, 346 MiB, 0 %, 1965 MHz, 1965 MHz, 155.98 W, 54, P2, 0x0000000000000024
2026/08/26 22:12:27.396, 0, 346 MiB, 0 %, 1695 MHz, 1695 MHz, 138.41 W, 53, P2, 0x0000000000000000
2026/08/26 22:12:28.396, 0, 20144 MiB, 100 %, 1965 MHz, 1965 MHz, 132.84 W, 54, P2, 0x0000000000000000
2026/08/26 22:12:29.397, 0, 20144 MiB, 100 %, 1965 MHz, 1965 MHz, 156.57 W, 54, P2, 0x0000000000000000
2026/08/26 22:12:30.397, 0, 20144 MiB, 100 %, 1965 MHz, 1965 MHz, 156.52 W, 55, P2, 0x0000000000000000
