ts,util,mem_used,temp,pstate,clk_sm,clk_mem,pwr,throttle
2026/08/27 10:29:06.898, 45 %, 82 MiB, 65, P2, 1935 MHz, 9501 MHz, 250.54 W, 0x0000000000000000
2026/08/27 10:29:11.917, 8 %, 346 MiB, 61, P2, 1695 MHz, 9501 MHz, 163.26 W, 0x0000000000000000
2026/08/27 10:29:16.940, 100 %, 18082 MiB, 61, P2, 1950 MHz, 9501 MHz, 168.82 W, 0x0000000000000000
2026/08/27 10:29:21.963, 100 %, 18082 MiB, 60, P2, 1950 MHz, 9501 MHz, 167.51 W, 0x0000000000000000
2026/08/27 10:29:26.985, 73 %, 21828 MiB, 65, P2, 1950 MHz, 9501 MHz, 262.57 W, 0x0000000000000000
2026/08/27 10:29:32.005, 100 %, 21834 MiB, 62, P2, 1950 MHz, 9501 MHz, 201.87 W, 0x0000000000000000
2026/08/27 10:29:37.027, 67 %, 21834 MiB, 65, P2, 1950 MHz, 9501 MHz, 272.10 W, 0x0000000000000000
2026/08/27 10:29:42.045, 74 %, 82 MiB, 64, P2, 1950 MHz, 9501 MHz, 245.16 W, 0x0000000000000000
2026/08/27 10:29:47.064, 27 %, 346 MiB, 60, P2, 1695 MHz, 9501 MHz, 159.58 W, 0x0000000000000000
2026/08/27 10:29:52.086, 100 %, 18082 MiB, 60, P2, 1950 MHz, 9501 MHz, 167.21 W, 0x0000000000000000
2026/08/27 10:29:57.111, 100 %, 18082 MiB, 60, P2, 1950 MHz, 9501 MHz, 164.84 W, 0x0000000000000000
2026/08/27 10:30:02.134, 70 %, 21828 MiB, 64, P2, 1950 MHz, 9501 MHz, 290.08 W, 0x0000000000000000
2026/08/27 10:30:07.156, 60 %, 21828 MiB, 67, P2, 1950 MHz, 9501 MHz, 279.50 W, 0x0000000000000000
2026/08/27 10:30:12.177, 68 %, 21834 MiB, 63, P2, 1935 MHz, 9501 MHz, 277.31 W, 0x0000000000000004
2026/08/27 10:30:17.199, 73 %, 21834 MiB, 68, P2, 1950 MHz, 9501 MHz, 320.97 W, 0x0000000000000000
2026/08/27 10:30:22.217, 71 %, 21834 MiB, 67, P2, 1935 MHz, 9501 MHz, 287.51 W, 0x0000000000000004
2026/08/27 10:30:27.239, 73 %, 21834 MiB, 70, P2, 1935 MHz, 9501 MHz, 328.89 W, 0x0000000000000000
2026/08/27 10:30:32.258, 0 %, 346 MiB, 63, P2, 1950 MHz, 9501 MHz, 146.33 W, 0x0000000000000000
2026/08/27 10:30:37.277, 100 %, 17618 MiB, 62, P2, 1950 MHz, 9501 MHz, 169.97 W, 0x0000000000000000
2026/08/27 10:30:42.300, 100 %, 17618 MiB, 61, P2, 1950 MHz, 9501 MHz, 169.22 W, 0x0000000000000000
2026/08/27 10:30:47.324, 100 %, 20250 MiB, 60, P2, 1950 MHz, 9501 MHz, 168.91 W, 0x0000000000000000
2026/08/27 10:30:52.345, 63 %, 20280 MiB, 67, P2, 1950 MHz, 9501 MHz, 311.57 W, 0x0000000000000000
2026/08/27 10:30:57.365, 67 %, 20288 MiB, 67, P2, 1950 MHz, 9501 MHz, 269.30 W, 0x0000000000000000
2026/08/27 10:31:02.383, 67 %, 394 MiB, 67, P2, 1950 MHz, 9501 MHz, 283.28 W, 0x0000000000000000
2026/08/27 10:31:07.402, 0 %, 346 MiB, 61, P2, 1965 MHz, 9501 MHz, 169.04 W, 0x0000000000000000
2026/08/27 10:31:12.423, 99 %, 17618 MiB, 60, P2, 1965 MHz, 9501 MHz, 168.58 W, 0x0000000000000000
2026/08/27 10:31:17.447, 99 %, 17618 MiB, 60, P2, 1965 MHz, 9501 MHz, 167.80 W, 0x0000000000000000
2026/08/27 10:31:22.467, 73 %, 20276 MiB, 65, P2, 1950 MHz, 9501 MHz, 309.20 W, 0x0000000000000000
2026/08/27 10:31:27.487, 75 %, 20276 MiB, 66, P2, 1950 MHz, 9501 MHz, 313.05 W, 0x0000000000000000
2026/08/27 10:31:32.506, 69 %, 20280 MiB, 67, P2, 1950 MHz, 9501 MHz, 314.74 W, 0x0000000000000000
2026/08/27 10:31:37.525, 62 %, 20288 MiB, 67, P2, 1950 MHz, 9501 MHz, 247.50 W, 0x0000000000000000
2026/08/27 10:31:42.544, 69 %, 20288 MiB, 68, P2, 1950 MHz, 9501 MHz, 290.69 W, 0x0000000000000000
2026/08/27 10:31:47.563, 71 %, 20288 MiB, 69, P2, 1935 MHz, 9501 MHz, 307.24 W, 0x0000000000000000
2026/08/27 10:31:52.585, 0 %, 346 MiB, 62, P2, 1950 MHz, 9501 MHz, 158.30 W, 0x0000000000000000
2026/08/27 10:31:57.604, 100 %, 19362 MiB, 61, P2, 1950 MHz, 9501 MHz, 168.43 W, 0x0000000000000000
2026/08/27 10:32:02.628, 100 %, 19362 MiB, 61, P2, 1950 MHz, 9501 MHz, 167.77 W, 0x0000000000000000
2026/08/27 10:32:07.648, 31 %, 20758 MiB, 60, P2, 1950 MHz, 9501 MHz, 168.47 W, 0x0000000000000000
2026/08/27 10:32:12.665, 84 %, 20770 MiB, 62, P2, 1950 MHz, 9501 MHz, 217.10 W, 0x0000000000000000
2026/08/27 10:32:17.683, 84 %, 20770 MiB, 62, P2, 1950 MHz, 9501 MHz, 225.46 W, 0x0000000000000000
2026/08/27 10:32:22.703, 81 %, 20770 MiB, 62, P2, 1950 MHz, 9501 MHz, 223.73 W, 0x0000000000000000
2026/08/27 10:32:27.722, 80 %, 20772 MiB, 62, P2, 1950 MHz, 9501 MHz, 224.79 W, 0x0000000000000000
2026/08/27 10:32:32.743, 83 %, 20778 MiB, 63, P2, 1950 MHz, 9501 MHz, 226.40 W, 0x0000000000000000
2026/08/27 10:32:37.764, 82 %, 20780 MiB, 63, P2, 1950 MHz, 9501 MHz, 233.16 W, 0x0000000000000000
2026/08/27 10:32:42.783, 83 %, 20780 MiB, 63, P2, 1950 MHz, 9501 MHz, 230.04 W, 0x0000000000000000
2026/08/27 10:32:47.804, 84 %, 20780 MiB, 63, P2, 1950 MHz, 9501 MHz, 225.09 W, 0x0000000000000000
2026/08/27 10:32:52.823, 83 %, 20780 MiB, 63, P2, 1950 MHz, 9501 MHz, 226.48 W, 0x0000000000000000
2026/08/27 10:32:57.842, 82 %, 20780 MiB, 63, P2, 1950 MHz, 9501 MHz, 228.19 W, 0x0000000000000000
2026/08/27 10:33:02.863, 15 %, 20780 MiB, 63, P2, 1950 MHz, 9501 MHz, 221.08 W, 0x0000000000000000
2026/08/27 10:33:07.883, 0 %, 346 MiB, 60, P2, 1965 MHz, 9501 MHz, 155.02 W, 0x0000000000000000
2026/08/27 10:33:12.910, 100 %, 19362 MiB, 59, P2, 1965 MHz, 9501 MHz, 166.06 W, 0x0000000000000000
2026/08/27 10:33:17.934, 100 %, 19362 MiB, 59, P2, 1965 MHz, 9501 MHz, 165.82 W, 0x0000000000000000
2026/08/27 10:33:22.956, 2 %, 20744 MiB, 59, P2, 1965 MHz, 9501 MHz, 168.04 W, 0x0000000000000000
