timestamp, index, memory.used [MiB], utilization.gpu [%], clocks.current.graphics [MHz], clocks.current.sm [MHz], power.draw [W], temperature.gpu, pstate, clocks_event_reasons.active
2026/08/26 22:31:46.412, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 27.58 W, 44, P8, 0x0000000000000001
2026/08/26 22:31:47.418, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 27.65 W, 44, P8, 0x0000000000000001
2026/08/26 22:31:48.418, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 27.49 W, 44, P8, 0x0000000000000001
2026/08/26 22:31:49.419, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 27.39 W, 44, P8, 0x0000000000000001
2026/08/26 22:31:50.419, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 27.44 W, 44, P8, 0x0000000000000001
2026/08/26 22:31:51.419, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 27.34 W, 44, P8, 0x0000000000000001
2026/08/26 22:31:52.419, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 27.38 W, 44, P8, 0x0000000000000001
2026/08/26 22:31:53.419, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 27.51 W, 43, P8, 0x0000000000000001
2026/08/26 22:31:54.420, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 27.32 W, 43, P8, 0x0000000000000001
2026/08/26 22:31:55.420, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 27.13 W, 43, P8, 0x0000000000000001
2026/08/26 22:31:56.420, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 27.17 W, 43, P8, 0x0000000000000001
2026/08/26 22:31:57.420, 0, 85 MiB, 0 %, 210 MHz, 210 MHz, 27.11 W, 43, P8, 0x0000000000000001
2026/08/26 22:31:58.730, 0, 346 MiB, 0 %, 1965 MHz, 1965 MHz, 69.75 W, 49, P2, 0x0000000000000000
2026/08/26 22:31:59.730, 0, 346 MiB, 7 %, 1980 MHz, 1980 MHz, 153.53 W, 51, P2, 0x0000000000000024
2026/08/26 22:32:00.731, 0, 346 MiB, 5 %, 1695 MHz, 1695 MHz, 149.80 W, 50, P2, 0x0000000000000000
2026/08/26 22:32:01.731, 0, 20144 MiB, 0 %, 1980 MHz, 1980 MHz, 119.54 W, 50, P2, 0x0000000000000000
2026/08/26 22:32:02.731, 0, 20144 MiB, 100 %, 1980 MHz, 1980 MHz, 151.20 W, 52, P2, 0x0000000000000000
2026/08/26 22:32:03.732, 0, 20144 MiB, 99 %, 1980 MHz, 1980 MHz, 156.60 W, 52, P2, 0x0000000000000000
2026/08/26 22:32:04.732, 0, 20144 MiB, 100 %, 1980 MHz, 1980 MHz, 156.56 W, 52, P2, 0x0000000000000000
2026/08/26 22:32:05.732, 0, 20144 MiB, 100 %, 1980 MHz, 1980 MHz, 156.53 W, 53, P2, 0x0000000000000000
2026/08/26 22:32:06.733, 0, 20144 MiB, 100 %, 1980 MHz, 1980 MHz, 157.12 W, 53, P2, 0x0000000000000000
2026/08/26 22:32:07.733, 0, 20144 MiB, 99 %, 1980 MHz, 1980 MHz, 157.21 W, 53, P2, 0x0000000000000000
2026/08/26 22:32:08.733, 0, 20144 MiB, 100 %, 1980 MHz, 1980 MHz, 157.28 W, 53, P2, 0x0000000000000000
2026/08/26 22:32:09.733, 0, 20144 MiB, 100 %, 1980 MHz, 1980 MHz, 157.51 W, 53, P2, 0x0000000000000000
2026/08/26 22:32:10.733, 0, 20144 MiB, 100 %, 1980 MHz, 1980 MHz, 157.40 W, 53, P2, 0x0000000000000000
2026/08/26 22:32:11.733, 0, 20144 MiB, 99 %, 1980 MHz, 1980 MHz, 157.53 W, 54, P2, 0x0000000000000000
2026/08/26 22:32:12.733, 0, 20144 MiB, 99 %, 1980 MHz, 1980 MHz, 157.90 W, 54, P2, 0x0000000000000000
2026/08/26 22:32:13.734, 0, 20816 MiB, 76 %, 1980 MHz, 1980 MHz, 187.17 W, 57, P2, 0x0000000000000000
2026/08/26 22:32:14.734, 0, 20816 MiB, 74 %, 1965 MHz, 1965 MHz, 270.69 W, 58, P2, 0x0000000000000000
2026/08/26 22:32:15.734, 0, 20816 MiB, 62 %, 1965 MHz, 1965 MHz, 281.89 W, 61, P2, 0x0000000000000000
2026/08/26 22:32:16.734, 0, 20816 MiB, 77 %, 1965 MHz, 1965 MHz, 283.37 W, 61, P2, 0x0000000000000000
2026/08/26 22:32:17.734, 0, 20816 MiB, 78 %, 1965 MHz, 1965 MHz, 319.64 W, 62, P2, 0x0000000000000000
2026/08/26 22:32:18.734, 0, 20816 MiB, 66 %, 1950 MHz, 1950 MHz, 291.10 W, 59, P2, 0x0000000000000000
2026/08/26 22:32:19.734, 0, 20824 MiB, 77 %, 1950 MHz, 1950 MHz, 222.73 W, 59, P2, 0x0000000000000024
2026/08/26 22:32:20.735, 0, 20824 MiB, 78 %, 1950 MHz, 1950 MHz, 316.05 W, 62, P2, 0x0000000000000000
2026/08/26 22:32:21.735, 0, 20824 MiB, 78 %, 1950 MHz, 1950 MHz, 318.91 W, 63, P2, 0x0000000000000000
2026/08/26 22:32:22.735, 0, 20824 MiB, 75 %, 1950 MHz, 1950 MHz, 258.01 W, 58, P2, 0x0000000000000004
2026/08/26 22:32:23.735, 0, 20824 MiB, 79 %, 1950 MHz, 1950 MHz, 311.02 W, 63, P2, 0x0000000000000000
