ts,util,mem_used,temp,pstate,clk_sm,clk_mem,pwr,throttle
2026/08/30 22:05:54.200, 0 %, 82 MiB, 35, P8, 210 MHz, 405 MHz, 24.99 W, 0x0000000000000001
2026/08/30 22:05:59.225, 0 %, 82 MiB, 35, P8, 210 MHz, 405 MHz, 25.10 W, 0x0000000000000001
2026/08/30 22:06:04.248, 0 %, 82 MiB, 35, P8, 210 MHz, 405 MHz, 25.06 W, 0x0000000000000001
2026/08/30 22:06:09.273, 0 %, 82 MiB, 35, P8, 210 MHz, 405 MHz, 24.93 W, 0x0000000000000001
2026/08/30 22:06:14.296, 0 %, 346 MiB, 41, P2, 1695 MHz, 9501 MHz, 135.98 W, 0x0000000000000000
2026/08/30 22:06:19.317, 100 %, 17618 MiB, 45, P2, 1965 MHz, 9501 MHz, 146.85 W, 0x0000000000000000
2026/08/30 22:06:24.340, 100 %, 17618 MiB, 46, P2, 1965 MHz, 9501 MHz, 150.65 W, 0x0000000000000000
2026/08/30 22:06:29.364, 69 %, 20276 MiB, 53, P2, 1980 MHz, 9501 MHz, 256.53 W, 0x0000000000000000
2026/08/30 22:06:34.385, 68 %, 20288 MiB, 55, P2, 1980 MHz, 9501 MHz, 263.95 W, 0x0000000000000000
2026/08/30 22:06:39.405, 69 %, 20288 MiB, 56, P2, 1980 MHz, 9501 MHz, 239.33 W, 0x0000000000000000
2026/08/30 22:06:44.424, 0 %, 82 MiB, 53, P0, 1965 MHz, 9751 MHz, 158.38 W, 0x0000000000000000
2026/08/30 22:06:49.445, 100 %, 18082 MiB, 51, P2, 1695 MHz, 9501 MHz, 122.40 W, 0x0000000000000000
2026/08/30 22:06:54.469, 100 %, 18082 MiB, 53, P2, 1980 MHz, 9501 MHz, 157.52 W, 0x0000000000000000
2026/08/30 22:06:59.497, 100 %, 18082 MiB, 53, P2, 1980 MHz, 9501 MHz, 157.42 W, 0x0000000000000000
2026/08/30 22:07:04.519, 76 %, 21828 MiB, 60, P2, 1965 MHz, 9501 MHz, 274.92 W, 0x0000000000000000
2026/08/30 22:07:09.538, 67 %, 21828 MiB, 61, P2, 1950 MHz, 9501 MHz, 288.81 W, 0x0000000000000000
2026/08/30 22:07:14.558, 71 %, 21834 MiB, 60, P2, 1950 MHz, 9501 MHz, 194.56 W, 0x0000000000000000
2026/08/30 22:07:19.579, 58 %, 21834 MiB, 60, P2, 1890 MHz, 9501 MHz, 279.79 W, 0x0000000000000004
2026/08/30 22:07:24.599, 72 %, 21834 MiB, 64, P2, 1950 MHz, 9501 MHz, 276.88 W, 0x0000000000000000
2026/08/30 22:07:29.622, 71 %, 21834 MiB, 66, P2, 1935 MHz, 9501 MHz, 314.06 W, 0x0000000000000000
2026/08/30 22:07:34.643, 0 %, 346 MiB, 59, P2, 1950 MHz, 9501 MHz, 140.26 W, 0x0000000000000000
2026/08/30 22:07:39.661, 100 %, 17618 MiB, 59, P2, 1950 MHz, 9501 MHz, 163.03 W, 0x0000000000000000
2026/08/30 22:07:44.687, 100 %, 17618 MiB, 58, P2, 1950 MHz, 9501 MHz, 162.54 W, 0x0000000000000000
2026/08/30 22:07:49.709, 0 %, 20276 MiB, 57, P2, 1950 MHz, 9501 MHz, 161.41 W, 0x0000000000000000
2026/08/30 22:07:54.729, 65 %, 20276 MiB, 62, P2, 1950 MHz, 9501 MHz, 282.83 W, 0x0000000000000000
2026/08/30 22:07:59.748, 78 %, 20280 MiB, 63, P2, 1950 MHz, 9501 MHz, 280.83 W, 0x0000000000000000
2026/08/30 22:08:04.768, 66 %, 20288 MiB, 66, P2, 1935 MHz, 9501 MHz, 305.93 W, 0x0000000000000000
2026/08/30 22:08:09.790, 69 %, 20288 MiB, 67, P2, 1935 MHz, 9501 MHz, 308.42 W, 0x0000000000000000
2026/08/30 22:08:14.813, 70 %, 20288 MiB, 68, P2, 1935 MHz, 9501 MHz, 313.26 W, 0x0000000000000000
2026/08/30 22:08:20.096, 0 %, 99 MiB, 59, P0, 1005 MHz, 5001 MHz, 136.70 W, 0x0000000000000000
2026/08/30 22:08:25.117, 100 %, 18082 MiB, 60, P2, 1950 MHz, 9501 MHz, 160.16 W, 0x0000000000000000
2026/08/30 22:08:30.141, 100 %, 18082 MiB, 60, P2, 1950 MHz, 9501 MHz, 164.63 W, 0x0000000000000000
2026/08/30 22:08:35.170, 83 %, 20636 MiB, 59, P2, 1950 MHz, 9501 MHz, 164.45 W, 0x0000000000000000
2026/08/30 22:08:40.193, 73 %, 21828 MiB, 65, P2, 1935 MHz, 9501 MHz, 305.92 W, 0x0000000000000000
2026/08/30 22:08:45.213, 65 %, 21834 MiB, 62, P2, 1935 MHz, 9501 MHz, 256.41 W, 0x0000000000000000
2026/08/30 22:08:50.238, 71 %, 21834 MiB, 67, P2, 1935 MHz, 9501 MHz, 313.38 W, 0x0000000000000000
2026/08/30 22:08:55.402, 0 %, 99 MiB, 60, P3, 420 MHz, 5001 MHz, 156.01 W, 0x0000000000000001
2026/08/30 22:09:00.430, 100 %, 19362 MiB, 60, P2, 1950 MHz, 9501 MHz, 163.37 W, 0x0000000000000000
2026/08/30 22:09:05.456, 100 %, 19362 MiB, 59, P2, 1950 MHz, 9501 MHz, 162.81 W, 0x0000000000000000
2026/08/30 22:09:10.478, 100 %, 20004 MiB, 59, P2, 1950 MHz, 9501 MHz, 162.70 W, 0x0000000000000000
2026/08/30 22:09:15.497, 84 %, 20770 MiB, 61, P2, 1950 MHz, 9501 MHz, 220.29 W, 0x0000000000000000
2026/08/30 22:09:20.515, 82 %, 20770 MiB, 61, P2, 1950 MHz, 9501 MHz, 209.82 W, 0x0000000000000000
2026/08/30 22:09:25.534, 83 %, 20770 MiB, 61, P2, 1950 MHz, 9501 MHz, 223.60 W, 0x0000000000000000
2026/08/30 22:09:30.555, 83 %, 20772 MiB, 62, P2, 1950 MHz, 9501 MHz, 225.09 W, 0x0000000000000000
2026/08/30 22:09:35.577, 72 %, 20778 MiB, 61, P2, 1950 MHz, 9501 MHz, 204.70 W, 0x0000000000000000
2026/08/30 22:09:40.595, 84 %, 20780 MiB, 62, P2, 1950 MHz, 9501 MHz, 227.55 W, 0x0000000000000000
2026/08/30 22:09:45.613, 80 %, 20780 MiB, 62, P2, 1950 MHz, 9501 MHz, 227.75 W, 0x0000000000000000
2026/08/30 22:09:50.643, 84 %, 20780 MiB, 63, P2, 1950 MHz, 9501 MHz, 214.38 W, 0x0000000000000000
2026/08/30 22:09:55.665, 72 %, 20780 MiB, 63, P2, 1950 MHz, 9501 MHz, 222.62 W, 0x0000000000000000
2026/08/30 22:10:00.684, 85 %, 20780 MiB, 62, P2, 1950 MHz, 9501 MHz, 222.96 W, 0x0000000000000000
2026/08/30 22:10:05.705, 81 %, 20780 MiB, 62, P2, 1950 MHz, 9501 MHz, 214.64 W, 0x0000000000000000
2026/08/30 22:10:10.735, 0 %, 346 MiB, 57, P0, 1695 MHz, 9751 MHz, 144.20 W, 0x0000000000000000
2026/08/30 22:10:15.756, 100 %, 19044 MiB, 58, P2, 1950 MHz, 9501 MHz, 136.54 W, 0x0000000000000000
2026/08/30 22:10:20.778, 99 %, 19044 MiB, 59, P2, 1950 MHz, 9501 MHz, 162.37 W, 0x0000000000000000
2026/08/30 22:10:25.801, 100 %, 19044 MiB, 58, P2, 1950 MHz, 9501 MHz, 162.40 W, 0x0000000000000000
2026/08/30 22:10:30.828, 80 %, 22286 MiB, 66, P2, 1935 MHz, 9501 MHz, 322.61 W, 0x0000000000000000
2026/08/30 22:10:35.851, 80 %, 22286 MiB, 67, P2, 1935 MHz, 9501 MHz, 318.93 W, 0x0000000000000004
2026/08/30 22:10:40.875, 76 %, 22292 MiB, 67, P2, 1935 MHz, 9501 MHz, 302.92 W, 0x0000000000000000
2026/08/30 22:10:45.896, 79 %, 22292 MiB, 68, P2, 1935 MHz, 9501 MHz, 315.90 W, 0x0000000000000004
2026/08/30 22:10:50.915, 80 %, 22292 MiB, 69, P2, 1935 MHz, 9501 MHz, 318.78 W, 0x0000000000000004
2026/08/30 22:10:55.936, 100 %, 82 MiB, 66, P0, 1935 MHz, 9501 MHz, 238.24 W, 0x0000000000000000
2026/08/30 22:11:00.955, 0 %, 598 MiB, 61, P2, 1695 MHz, 9501 MHz, 157.34 W, 0x0000000000000000
2026/08/30 22:11:05.977, 100 %, 19362 MiB, 61, P2, 1950 MHz, 9501 MHz, 165.77 W, 0x0000000000000000
2026/08/30 22:11:11.001, 100 %, 19362 MiB, 60, P2, 1950 MHz, 9501 MHz, 164.67 W, 0x0000000000000000
2026/08/30 22:11:16.023, 85 %, 20768 MiB, 62, P2, 1950 MHz, 9501 MHz, 226.50 W, 0x0000000000000000
2026/08/30 22:11:21.045, 83 %, 20770 MiB, 63, P2, 1950 MHz, 9501 MHz, 227.96 W, 0x0000000000000000
2026/08/30 22:11:26.066, 84 %, 20772 MiB, 63, P2, 1950 MHz, 9501 MHz, 224.43 W, 0x0000000000000000
