ts,util,mem_used,temp,pstate,clk_sm,clk_mem,pwr,throttle
2026/08/28 10:42:22.114, 0 %, 82 MiB, 35, P8, 210 MHz, 405 MHz, 25.98 W, 0x0000000000000004
2026/08/28 10:42:27.139, 0 %, 82 MiB, 35, P8, 210 MHz, 405 MHz, 26.11 W, 0x0000000000000001
2026/08/28 10:42:32.161, 0 %, 82 MiB, 35, P8, 210 MHz, 405 MHz, 26.10 W, 0x0000000000000001
2026/08/28 10:42:37.188, 6 %, 346 MiB, 42, P2, 1695 MHz, 9501 MHz, 146.80 W, 0x0000000000000000
2026/08/28 10:42:42.211, 100 %, 20144 MiB, 45, P2, 1980 MHz, 9501 MHz, 152.53 W, 0x0000000000000000
2026/08/28 10:42:47.237, 99 %, 20144 MiB, 46, P2, 1965 MHz, 9501 MHz, 152.88 W, 0x0000000000000000
2026/08/28 10:42:52.257, 76 %, 20816 MiB, 53, P2, 1980 MHz, 9501 MHz, 261.89 W, 0x0000000000000000
2026/08/28 10:42:57.277, 75 %, 20824 MiB, 56, P2, 1965 MHz, 9501 MHz, 248.46 W, 0x0000000000000000
2026/08/28 10:43:02.297, 77 %, 20824 MiB, 57, P2, 1965 MHz, 9501 MHz, 286.45 W, 0x0000000000000000
2026/08/28 10:43:07.313, 0 %, 82 MiB, 54, P0, 1965 MHz, 9751 MHz, 157.63 W, 0x0000000000000000
2026/08/28 10:43:12.333, 8 %, 19362 MiB, 52, P2, 1695 MHz, 9501 MHz, 121.86 W, 0x0000000000000000
2026/08/28 10:43:17.361, 100 %, 19362 MiB, 54, P2, 1980 MHz, 9501 MHz, 159.82 W, 0x0000000000000000
2026/08/28 10:43:22.383, 100 %, 19362 MiB, 54, P2, 1980 MHz, 9501 MHz, 160.08 W, 0x0000000000000000
2026/08/28 10:43:27.405, 79 %, 20768 MiB, 57, P2, 1965 MHz, 9501 MHz, 218.00 W, 0x0000000000000000
2026/08/28 10:43:32.425, 86 %, 20772 MiB, 58, P2, 1965 MHz, 9501 MHz, 224.63 W, 0x0000000000000000
2026/08/28 10:43:37.445, 86 %, 20772 MiB, 58, P2, 1965 MHz, 9501 MHz, 221.37 W, 0x0000000000000000
2026/08/28 10:43:42.464, 81 %, 20772 MiB, 58, P2, 1965 MHz, 9501 MHz, 218.94 W, 0x0000000000000000
2026/08/28 10:43:47.481, 80 %, 20772 MiB, 59, P2, 1965 MHz, 9501 MHz, 211.31 W, 0x0000000000000000
2026/08/28 10:43:52.499, 84 %, 20772 MiB, 60, P2, 1965 MHz, 9501 MHz, 222.55 W, 0x0000000000000000
2026/08/28 10:43:57.519, 83 %, 20772 MiB, 60, P2, 1965 MHz, 9501 MHz, 223.36 W, 0x0000000000000000
2026/08/28 10:44:02.540, 80 %, 20772 MiB, 61, P2, 1950 MHz, 9501 MHz, 224.74 W, 0x0000000000000000
2026/08/28 10:44:07.560, 100 %, 20780 MiB, 61, P2, 1950 MHz, 9501 MHz, 198.93 W, 0x0000000000000000
2026/08/28 10:44:12.577, 82 %, 20780 MiB, 62, P2, 1950 MHz, 9501 MHz, 231.59 W, 0x0000000000000000
2026/08/28 10:44:17.598, 82 %, 20780 MiB, 62, P2, 1950 MHz, 9501 MHz, 228.21 W, 0x0000000000000000
2026/08/28 10:44:22.619, 82 %, 20780 MiB, 63, P2, 1950 MHz, 9501 MHz, 225.05 W, 0x0000000000000000
2026/08/28 10:44:27.637, 70 %, 20780 MiB, 62, P2, 1950 MHz, 9501 MHz, 217.83 W, 0x0000000000000004
2026/08/28 10:44:32.657, 77 %, 20780 MiB, 63, P2, 1950 MHz, 9501 MHz, 224.63 W, 0x0000000000000000
2026/08/28 10:44:37.679, 83 %, 20780 MiB, 63, P2, 1950 MHz, 9501 MHz, 228.58 W, 0x0000000000000000
2026/08/28 10:44:42.700, 83 %, 20780 MiB, 64, P2, 1950 MHz, 9501 MHz, 225.25 W, 0x0000000000000000
2026/08/28 10:44:47.728, 82 %, 20780 MiB, 64, P2, 1950 MHz, 9501 MHz, 225.31 W, 0x0000000000000000
2026/08/28 10:44:52.745, 81 %, 20780 MiB, 64, P2, 1950 MHz, 9501 MHz, 227.07 W, 0x0000000000000000
2026/08/28 10:44:57.764, 82 %, 20780 MiB, 64, P2, 1950 MHz, 9501 MHz, 227.51 W, 0x0000000000000000
2026/08/28 10:45:02.785, 80 %, 20780 MiB, 64, P2, 1950 MHz, 9501 MHz, 230.36 W, 0x0000000000000000
