ts,util,mem_used,temp,pstate,clk_sm,clk_mem,pwr,throttle
2026/08/2611:07:47.438,0,82,34,P8,210,405,25.23,0x0000000000000001
2026/08/2611:07:52.466,0,82,34,P8,210,405,24.79,0x0000000000000001
2026/08/2611:07:57.493,0,82,34,P8,210,405,25.07,0x0000000000000001
2026/08/2611:08:02.521,100,20144,43,P2,1980,9501,127.97,0x0000000000000000
2026/08/2611:08:07.547,100,20144,45,P2,1980,9501,151.77,0x0000000000000000
2026/08/2611:08:12.577,99,20144,46,P2,1965,9501,152.23,0x0000000000000000
2026/08/2611:08:17.604,94,20824,49,P2,1980,9501,249.87,0x0000000000000004
2026/08/2611:08:22.626,78,20826,57,P2,1965,9501,315.23,0x0000000000000000
2026/08/2611:08:27.649,78,20826,59,P2,1965,9501,269.88,0x0000000000000000
2026/08/2611:08:32.674,76,20826,58,P2,1950,9501,292.37,0x0000000000000004
2026/08/2611:08:37.704,73,20826,61,P2,1950,9501,315.00,0x0000000000000000
2026/08/2611:08:42.725,78,20826,63,P2,1950,9501,260.68,0x0000000000000000
2026/08/2611:08:47.749,32,20826,62,P2,1950,9501,304.10,0x0000000000000000
2026/08/2611:08:52.769,73,20826,65,P2,1950,9501,317.51,0x0000000000000000
2026/08/2611:08:57.793,79,20826,65,P2,1935,9501,253.22,0x0000000000000000
2026/08/2611:09:02.828,79,20826,66,P2,1935,9501,325.53,0x0000000000000000
2026/08/2611:09:07.849,77,20826,67,P2,1935,9501,324.30,0x0000000000000000
2026/08/2611:09:12.871,76,20826,67,P2,1935,9501,267.71,0x0000000000000000
2026/08/2611:09:17.892,79,20826,69,P2,1935,9501,327.70,0x0000000000000000
2026/08/2611:09:22.913,0,82,57,P3,210,5001,90.87,0x0000000000000001
2026/08/2611:09:27.935,0,82,53,P8,210,405,32.86,0x0000000000000001
2026/08/2611:09:32.965,0,598,56,P2,1695,9501,155.39,0x0000000000000000
2026/08/2611:09:37.986,99,20144,57,P2,1965,9501,162.46,0x0000000000000000
2026/08/2611:09:43.015,100,20144,57,P2,1965,9501,162.22,0x0000000000000000
2026/08/2611:09:48.045,76,20816,63,P2,1950,9501,318.95,0x0000000000000000
2026/08/2611:09:53.067,78,20826,65,P2,1935,9501,255.33,0x0000000000000000
2026/08/2611:09:58.089,78,20826,66,P2,1935,9501,325.76,0x0000000000000000
2026/08/2611:10:03.113,79,20826,67,P2,1935,9501,326.11,0x0000000000000000
2026/08/2611:10:08.137,78,20826,68,P2,1935,9501,270.36,0x0000000000000000
