ts,util,mem_used,temp,pstate,clk_sm,clk_mem,pwr,throttle
2026/08/2608:18:07.007,0,82,42,P8,210,405,26.63,0x0000000000000001
2026/08/2608:18:12.039,0,82,41,P8,210,405,26.45,0x0000000000000001
2026/08/2608:18:17.066,0,82,41,P8,210,405,26.58,0x0000000000000001
2026/08/2608:18:22.097,100,20144,49,P2,1950,9501,133.62,0x0000000000000000
2026/08/2608:18:27.126,100,20144,51,P2,1950,9501,152.83,0x0000000000000000
2026/08/2608:18:32.157,99,20144,52,P2,1950,9501,154.68,0x0000000000000000
2026/08/2608:18:37.182,77,20816,60,P2,1950,9501,313.50,0x0000000000000000
2026/08/2608:18:42.206,76,20816,62,P2,1950,9501,276.08,0x0000000000000000
2026/08/2608:18:47.229,100,20824,60,P2,1815,9501,287.17,0x0000000000000004
2026/08/2608:18:52.256,74,20824,65,P2,1935,9501,321.95,0x0000000000000000
2026/08/2608:18:57.278,78,20824,66,P2,1935,9501,326.32,0x0000000000000000
2026/08/2608:19:02.301,77,20824,67,P2,1935,9501,290.15,0x0000000000000000
2026/08/2608:19:07.325,0,346,60,P2,1695,9501,159.12,0x0000000000000000
2026/08/2608:19:12.349,100,18082,60,P2,1950,9501,162.08,0x0000000000000000
2026/08/2608:19:17.377,99,18082,59,P2,1950,9501,163.42,0x0000000000000000
2026/08/2608:19:22.405,72,20286,65,P2,1950,9501,311.85,0x0000000000000000
2026/08/2608:19:27.428,68,20288,65,P2,1935,9501,281.74,0x0000000000000000
2026/08/2608:19:32.455,82,20298,62,P2,1935,9501,199.53,0x0000000000000000
2026/08/2608:19:37.478,70,20298,67,P2,1935,9501,282.27,0x0000000000000000
2026/08/2608:19:42.499,70,20298,68,P2,1935,9501,315.40,0x0000000000000000
2026/08/2608:19:47.523,0,346,62,P2,1935,9501,164.87,0x0000000000000000
2026/08/2608:19:52.545,100,17154,61,P2,1950,9501,165.58,0x0000000000000000
2026/08/2608:19:57.573,99,17154,61,P2,1950,9501,165.13,0x0000000000000000
2026/08/2608:20:02.604,62,19862,65,P2,1935,9501,286.61,0x0000000000000000
2026/08/2608:20:07.628,67,19862,66,P2,1935,9501,274.04,0x0000000000000004
2026/08/2608:20:12.651,72,19864,64,P2,1935,9501,275.01,0x0000000000000004
2026/08/2608:20:17.673,68,19874,67,P2,1935,9501,298.82,0x0000000000000004
2026/08/2608:20:22.696,64,19874,68,P2,1935,9501,304.04,0x0000000000000004
2026/08/2608:20:27.720,68,19874,69,P2,1935,9501,273.86,0x0000000000000004
2026/08/2608:20:32.746,100,82,66,P0,1935,9501,256.69,0x0000000000000000
2026/08/2608:20:37.771,99,17154,62,P2,1935,9501,155.21,0x0000000000000000
2026/08/2608:20:42.801,100,17154,61,P2,1935,9501,166.94,0x0000000000000000
2026/08/2608:20:47.832,100,19828,61,P2,1935,9501,170.01,0x0000000000000000
2026/08/2608:20:52.856,67,19862,67,P2,1935,9501,300.11,0x0000000000000004
2026/08/2608:20:57.881,69,19864,67,P2,1935,9501,303.19,0x0000000000000004
2026/08/2608:21:02.909,100,19870,64,P2,1935,9501,229.46,0x0000000000000000
2026/08/2608:21:07.935,68,19874,69,P2,1935,9501,303.40,0x0000000000000004
2026/08/2608:21:12.957,68,19874,69,P2,1935,9501,302.53,0x0000000000000004
2026/08/2608:21:17.979,66,19874,69,P2,1935,9501,276.71,0x0000000000000004
2026/08/2608:21:23.003,4,346,62,P2,1695,9501,158.10,0x0000000000000000
2026/08/2608:21:28.025,99,18082,62,P2,1935,9501,166.23,0x0000000000000000
