timestamp, index, memory.used [MiB], utilization.gpu [%], clocks.current.graphics [MHz], clocks.current.sm [MHz], power.draw [W], temperature.gpu, pstate, clocks_event_reasons.active
2026/08/26 20:32:51.659, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 25.85 W, 40, P8, 0x0000000000000001
2026/08/26 20:32:52.666, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 25.98 W, 40, P8, 0x0000000000000001
2026/08/26 20:32:53.666, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 25.88 W, 40, P8, 0x0000000000000001
2026/08/26 20:32:54.666, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 25.80 W, 40, P8, 0x0000000000000001
2026/08/26 20:32:55.666, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 25.94 W, 40, P8, 0x0000000000000001
2026/08/26 20:32:56.666, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 25.91 W, 40, P8, 0x0000000000000001
2026/08/26 20:32:57.667, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 25.92 W, 40, P8, 0x0000000000000001
2026/08/26 20:32:58.667, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 26.02 W, 39, P8, 0x0000000000000001
2026/08/26 20:32:59.667, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 25.84 W, 39, P8, 0x0000000000000001
2026/08/26 20:33:00.667, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 25.81 W, 39, P8, 0x0000000000000001
2026/08/26 20:33:01.667, 0, 82 MiB, 0 %, 210 MHz, 210 MHz, 25.95 W, 39, P8, 0x0000000000000001
2026/08/26 20:33:02.667, 0, 85 MiB, 0 %, 210 MHz, 210 MHz, 25.94 W, 39, P8, 0x0000000000000001
2026/08/26 20:33:03.808, 0, 346 MiB, 1 %, 1965 MHz, 1965 MHz, 122.27 W, 46, P2, 0x0000000000000000
2026/08/26 20:33:04.809, 0, 346 MiB, 0 %, 1965 MHz, 1965 MHz, 149.72 W, 47, P2, 0x0000000000000000
2026/08/26 20:33:05.809, 0, 346 MiB, 0 %, 1695 MHz, 1695 MHz, 133.33 W, 46, P2, 0x0000000000000000
2026/08/26 20:33:06.809, 0, 20144 MiB, 99 %, 1965 MHz, 1965 MHz, 129.47 W, 48, P2, 0x0000000000000000
2026/08/26 20:33:07.809, 0, 20144 MiB, 100 %, 1965 MHz, 1965 MHz, 151.51 W, 49, P2, 0x0000000000000000
2026/08/26 20:33:08.809, 0, 20144 MiB, 100 %, 1965 MHz, 1965 MHz, 150.39 W, 48, P2, 0x0000000000000000
2026/08/26 20:33:09.810, 0, 20144 MiB, 100 %, 1950 MHz, 1950 MHz, 151.65 W, 49, P2, 0x0000000000000000
2026/08/26 20:33:10.810, 0, 20144 MiB, 100 %, 1950 MHz, 1950 MHz, 149.02 W, 49, P2, 0x0000000000000000
2026/08/26 20:33:11.810, 0, 20144 MiB, 100 %, 1950 MHz, 1950 MHz, 150.72 W, 49, P2, 0x0000000000000000
2026/08/26 20:33:12.810, 0, 20144 MiB, 99 %, 1950 MHz, 1950 MHz, 149.29 W, 49, P2, 0x0000000000000000
2026/08/26 20:33:13.810, 0, 20144 MiB, 100 %, 1950 MHz, 1950 MHz, 150.07 W, 50, P2, 0x0000000000000000
2026/08/26 20:33:14.810, 0, 20144 MiB, 100 %, 1950 MHz, 1950 MHz, 151.07 W, 50, P2, 0x0000000000000000
2026/08/26 20:33:15.811, 0, 20800 MiB, 21 %, 1950 MHz, 1950 MHz, 154.58 W, 51, P2, 0x0000000000000000
2026/08/26 20:33:16.811, 0, 20816 MiB, 77 %, 1965 MHz, 1965 MHz, 224.39 W, 56, P2, 0x0000000000000000
2026/08/26 20:33:17.811, 0, 20816 MiB, 78 %, 1965 MHz, 1965 MHz, 311.51 W, 57, P2, 0x0000000000000000
2026/08/26 20:33:18.811, 0, 20816 MiB, 77 %, 1965 MHz, 1965 MHz, 313.03 W, 58, P2, 0x0000000000000000
2026/08/26 20:33:19.812, 0, 20816 MiB, 77 %, 1965 MHz, 1965 MHz, 274.34 W, 58, P2, 0x0000000000000000
2026/08/26 20:33:20.812, 0, 20816 MiB, 79 %, 1965 MHz, 1965 MHz, 313.77 W, 59, P2, 0x0000000000000000
2026/08/26 20:33:21.812, 0, 20816 MiB, 80 %, 1950 MHz, 1950 MHz, 312.89 W, 59, P2, 0x0000000000000000
2026/08/26 20:33:22.812, 0, 20816 MiB, 77 %, 1950 MHz, 1950 MHz, 272.38 W, 59, P2, 0x0000000000000000
2026/08/26 20:33:23.812, 0, 20816 MiB, 78 %, 1950 MHz, 1950 MHz, 314.17 W, 60, P2, 0x0000000000000000
2026/08/26 20:33:24.813, 0, 20816 MiB, 16 %, 1950 MHz, 1950 MHz, 298.72 W, 59, P2, 0x0000000000000000
2026/08/26 20:33:25.813, 0, 20816 MiB, 79 %, 1950 MHz, 1950 MHz, 279.11 W, 61, P2, 0x0000000000000000
2026/08/26 20:33:26.813, 0, 20816 MiB, 78 %, 1950 MHz, 1950 MHz, 319.20 W, 61, P2, 0x0000000000000000
2026/08/26 20:33:27.813, 0, 20816 MiB, 73 %, 1950 MHz, 1950 MHz, 280.32 W, 57, P2, 0x0000000000000004
2026/08/26 20:33:28.813, 0, 20816 MiB, 76 %, 1950 MHz, 1950 MHz, 301.24 W, 61, P2, 0x0000000000000000
2026/08/26 20:33:29.814, 0, 20816 MiB, 77 %, 1950 MHz, 1950 MHz, 318.02 W, 62, P2, 0x0000000000000000
2026/08/26 20:33:30.814, 0, 20824 MiB, 99 %, 1830 MHz, 1830 MHz, 272.36 W, 59, P2, 0x0000000000000004
2026/08/26 20:33:31.814, 0, 20824 MiB, 78 %, 1950 MHz, 1950 MHz, 281.99 W, 63, P2, 0x0000000000000000
2026/08/26 20:33:32.814, 0, 20824 MiB, 79 %, 1950 MHz, 1950 MHz, 321.19 W, 63, P2, 0x0000000000000000
2026/08/26 20:33:33.814, 0, 20824 MiB, 71 %, 1950 MHz, 1950 MHz, 289.71 W, 60, P2, 0x0000000000000004
2026/08/26 20:33:34.815, 0, 20824 MiB, 74 %, 1950 MHz, 1950 MHz, 304.95 W, 63, P2, 0x0000000000000000
2026/08/26 20:33:35.815, 0, 20824 MiB, 77 %, 1950 MHz, 1950 MHz, 321.74 W, 63, P2, 0x0000000000000000
2026/08/26 20:33:36.815, 0, 20824 MiB, 74 %, 1890 MHz, 1890 MHz, 287.29 W, 61, P2, 0x0000000000000004
2026/08/26 20:33:37.815, 0, 20824 MiB, 79 %, 1950 MHz, 1950 MHz, 318.77 W, 64, P2, 0x0000000000000000
2026/08/26 20:33:38.815, 0, 20824 MiB, 77 %, 1950 MHz, 1950 MHz, 324.14 W, 65, P2, 0x0000000000000000
2026/08/26 20:33:39.816, 0, 20824 MiB, 77 %, 1935 MHz, 1935 MHz, 289.51 W, 63, P2, 0x0000000000000000
2026/08/26 20:33:40.816, 0, 20824 MiB, 79 %, 1950 MHz, 1950 MHz, 323.38 W, 65, P2, 0x0000000000000000
2026/08/26 20:33:41.816, 0, 20824 MiB, 79 %, 1950 MHz, 1950 MHz, 327.36 W, 65, P2, 0x0000000000000000
2026/08/26 20:33:42.816, 0, 20824 MiB, 78 %, 1950 MHz, 1950 MHz, 285.32 W, 65, P2, 0x0000000000000000
2026/08/26 20:33:43.816, 0, 20824 MiB, 77 %, 1950 MHz, 1950 MHz, 326.57 W, 66, P2, 0x0000000000000000
2026/08/26 20:33:44.817, 0, 20824 MiB, 78 %, 1950 MHz, 1950 MHz, 325.18 W, 66, P2, 0x0000000000000000
2026/08/26 20:33:45.817, 0, 20824 MiB, 78 %, 1950 MHz, 1950 MHz, 294.61 W, 66, P2, 0x0000000000000000
2026/08/26 20:33:46.817, 0, 20824 MiB, 77 %, 1950 MHz, 1950 MHz, 330.35 W, 67, P2, 0x0000000000000000
2026/08/26 20:33:47.817, 0, 392 MiB, 69 %, 1950 MHz, 1950 MHz, 328.93 W, 65, P2, 0x0000000000000000
2026/08/26 20:33:48.817, 0, 346 MiB, 0 %, 1950 MHz, 1950 MHz, 174.26 W, 61, P2, 0x0000000000000000
2026/08/26 20:33:49.818, 0, 346 MiB, 0 %, 1950 MHz, 1950 MHz, 166.77 W, 61, P2, 0x0000000000000000
2026/08/26 20:33:50.818, 0, 346 MiB, 0 %, 1695 MHz, 1695 MHz, 163.69 W, 59, P2, 0x0000000000000000
2026/08/26 20:33:51.818, 0, 19362 MiB, 0 %, 1695 MHz, 1695 MHz, 129.86 W, 58, P2, 0x0000000000000000
2026/08/26 20:33:52.818, 0, 19362 MiB, 100 %, 1950 MHz, 1950 MHz, 144.60 W, 59, P2, 0x0000000000000000
2026/08/26 20:33:53.818, 0, 19362 MiB, 99 %, 1950 MHz, 1950 MHz, 164.39 W, 59, P2, 0x0000000000000000
2026/08/26 20:33:54.819, 0, 19362 MiB, 99 %, 1950 MHz, 1950 MHz, 161.78 W, 59, P2, 0x0000000000000000
2026/08/26 20:33:55.819, 0, 19362 MiB, 99 %, 1950 MHz, 1950 MHz, 162.05 W, 59, P2, 0x0000000000000000
2026/08/26 20:33:56.819, 0, 19362 MiB, 100 %, 1950 MHz, 1950 MHz, 162.44 W, 59, P2, 0x0000000000000000
2026/08/26 20:33:57.819, 0, 19362 MiB, 99 %, 1950 MHz, 1950 MHz, 162.90 W, 58, P2, 0x0000000000000000
2026/08/26 20:33:58.819, 0, 19362 MiB, 100 %, 1950 MHz, 1950 MHz, 161.47 W, 59, P2, 0x0000000000000000
2026/08/26 20:33:59.819, 0, 19362 MiB, 100 %, 1950 MHz, 1950 MHz, 162.25 W, 59, P2, 0x0000000000000000
2026/08/26 20:34:00.820, 0, 19362 MiB, 100 %, 1950 MHz, 1950 MHz, 162.61 W, 58, P2, 0x0000000000000000
2026/08/26 20:34:01.820, 0, 19362 MiB, 100 %, 1950 MHz, 1950 MHz, 163.27 W, 58, P2, 0x0000000000000000
2026/08/26 20:34:02.820, 0, 20502 MiB, 97 %, 1950 MHz, 1950 MHz, 164.06 W, 58, P2, 0x0000000000000000
2026/08/26 20:34:03.820, 0, 20764 MiB, 70 %, 1950 MHz, 1950 MHz, 177.89 W, 59, P2, 0x0000000000000000
2026/08/26 20:34:04.820, 0, 20768 MiB, 82 %, 1950 MHz, 1950 MHz, 223.58 W, 60, P2, 0x0000000000000000
2026/08/26 20:34:05.820, 0, 20770 MiB, 81 %, 1950 MHz, 1950 MHz, 224.06 W, 61, P2, 0x0000000000000000
2026/08/26 20:34:06.820, 0, 20770 MiB, 81 %, 1950 MHz, 1950 MHz, 225.31 W, 60, P2, 0x0000000000000000
2026/08/26 20:34:07.821, 0, 20770 MiB, 82 %, 1950 MHz, 1950 MHz, 223.66 W, 60, P2, 0x0000000000000000
2026/08/26 20:34:08.821, 0, 20770 MiB, 84 %, 1950 MHz, 1950 MHz, 221.26 W, 61, P2, 0x0000000000000000
2026/08/26 20:34:09.821, 0, 20770 MiB, 83 %, 1950 MHz, 1950 MHz, 222.22 W, 61, P2, 0x0000000000000000
2026/08/26 20:34:10.821, 0, 20770 MiB, 83 %, 1950 MHz, 1950 MHz, 226.24 W, 60, P2, 0x0000000000000000
2026/08/26 20:34:11.821, 0, 20774 MiB, 81 %, 1950 MHz, 1950 MHz, 227.32 W, 60, P2, 0x0000000000000000
2026/08/26 20:34:12.821, 0, 20774 MiB, 85 %, 1950 MHz, 1950 MHz, 222.65 W, 61, P2, 0x0000000000000000
2026/08/26 20:34:13.822, 0, 20774 MiB, 82 %, 1950 MHz, 1950 MHz, 223.83 W, 61, P2, 0x0000000000000000
2026/08/26 20:34:14.822, 0, 20774 MiB, 82 %, 1950 MHz, 1950 MHz, 223.61 W, 61, P2, 0x0000000000000000
2026/08/26 20:34:15.822, 0, 20774 MiB, 85 %, 1950 MHz, 1950 MHz, 216.46 W, 61, P2, 0x0000000000000000
2026/08/26 20:34:16.822, 0, 20774 MiB, 84 %, 1950 MHz, 1950 MHz, 224.51 W, 61, P2, 0x0000000000000000
2026/08/26 20:34:17.822, 0, 20774 MiB, 84 %, 1950 MHz, 1950 MHz, 226.90 W, 61, P2, 0x0000000000000000
2026/08/26 20:34:18.822, 0, 20774 MiB, 84 %, 1950 MHz, 1950 MHz, 225.14 W, 61, P2, 0x0000000000000000
2026/08/26 20:34:19.822, 0, 20774 MiB, 83 %, 1950 MHz, 1950 MHz, 229.37 W, 61, P2, 0x0000000000000000
2026/08/26 20:34:20.823, 0, 20774 MiB, 83 %, 1950 MHz, 1950 MHz, 225.98 W, 61, P2, 0x0000000000000000
2026/08/26 20:34:21.831, 0, 20774 MiB, 80 %, 1950 MHz, 1950 MHz, 223.97 W, 61, P2, 0x0000000000000000
2026/08/26 20:34:22.831, 0, 20774 MiB, 84 %, 1950 MHz, 1950 MHz, 228.10 W, 62, P2, 0x0000000000000000
2026/08/26 20:34:23.831, 0, 20774 MiB, 84 %, 1950 MHz, 1950 MHz, 226.10 W, 61, P2, 0x0000000000000000
2026/08/26 20:34:24.832, 0, 20774 MiB, 82 %, 1950 MHz, 1950 MHz, 227.24 W, 61, P2, 0x0000000000000000
2026/08/26 20:34:25.832, 0, 20774 MiB, 83 %, 1950 MHz, 1950 MHz, 213.84 W, 61, P2, 0x0000000000000000
2026/08/26 20:34:26.832, 0, 20774 MiB, 83 %, 1950 MHz, 1950 MHz, 224.21 W, 61, P2, 0x0000000000000000
2026/08/26 20:34:27.832, 0, 20774 MiB, 83 %, 1950 MHz, 1950 MHz, 225.91 W, 61, P2, 0x0000000000000000
2026/08/26 20:34:28.832, 0, 20774 MiB, 82 %, 1950 MHz, 1950 MHz, 223.93 W, 61, P2, 0x0000000000000000
2026/08/26 20:34:29.832, 0, 20774 MiB, 83 %, 1950 MHz, 1950 MHz, 225.64 W, 62, P2, 0x0000000000000000
2026/08/26 20:34:30.832, 0, 20774 MiB, 81 %, 1950 MHz, 1950 MHz, 224.51 W, 62, P2, 0x0000000000000000
2026/08/26 20:34:31.833, 0, 20774 MiB, 80 %, 1950 MHz, 1950 MHz, 224.80 W, 61, P2, 0x0000000000000000
2026/08/26 20:34:32.833, 0, 20774 MiB, 84 %, 1950 MHz, 1950 MHz, 223.43 W, 61, P2, 0x0000000000000000
2026/08/26 20:34:33.833, 0, 20774 MiB, 81 %, 1950 MHz, 1950 MHz, 222.60 W, 62, P2, 0x0000000000000000
2026/08/26 20:34:34.833, 0, 20774 MiB, 84 %, 1950 MHz, 1950 MHz, 222.18 W, 61, P2, 0x0000000000000000
2026/08/26 20:34:35.833, 0, 20774 MiB, 82 %, 1950 MHz, 1950 MHz, 224.52 W, 62, P2, 0x0000000000000000
2026/08/26 20:34:36.833, 0, 20774 MiB, 20 %, 1950 MHz, 1950 MHz, 221.96 W, 60, P2, 0x0000000000000000
2026/08/26 20:34:37.833, 0, 20774 MiB, 82 %, 1950 MHz, 1950 MHz, 214.70 W, 62, P2, 0x0000000000000000
2026/08/26 20:34:38.834, 0, 20774 MiB, 83 %, 1950 MHz, 1950 MHz, 228.15 W, 62, P2, 0x0000000000000000
2026/08/26 20:34:39.834, 0, 20774 MiB, 84 %, 1950 MHz, 1950 MHz, 228.05 W, 61, P2, 0x0000000000000000
2026/08/26 20:34:40.834, 0, 20774 MiB, 84 %, 1950 MHz, 1950 MHz, 225.98 W, 61, P2, 0x0000000000000000
2026/08/26 20:34:41.834, 0, 20774 MiB, 83 %, 1950 MHz, 1950 MHz, 226.65 W, 62, P2, 0x0000000000000000
2026/08/26 20:34:42.834, 0, 20774 MiB, 80 %, 1950 MHz, 1950 MHz, 226.47 W, 62, P2, 0x0000000000000000
2026/08/26 20:34:43.834, 0, 20774 MiB, 83 %, 1950 MHz, 1950 MHz, 226.99 W, 62, P2, 0x0000000000000000
2026/08/26 20:34:44.835, 0, 20774 MiB, 81 %, 1950 MHz, 1950 MHz, 227.91 W, 62, P2, 0x0000000000000000
2026/08/26 20:34:45.835, 0, 20774 MiB, 84 %, 1950 MHz, 1950 MHz, 225.87 W, 62, P2, 0x0000000000000000
2026/08/26 20:34:46.835, 0, 20774 MiB, 79 %, 1950 MHz, 1950 MHz, 226.61 W, 62, P2, 0x0000000000000000
2026/08/26 20:34:47.835, 0, 20774 MiB, 79 %, 1950 MHz, 1950 MHz, 209.13 W, 62, P2, 0x0000000000000000
2026/08/26 20:34:48.835, 0, 20774 MiB, 84 %, 1950 MHz, 1950 MHz, 226.67 W, 62, P2, 0x0000000000000000
2026/08/26 20:34:49.835, 0, 20774 MiB, 80 %, 1950 MHz, 1950 MHz, 227.49 W, 63, P2, 0x0000000000000000
2026/08/26 20:34:50.835, 0, 20774 MiB, 82 %, 1950 MHz, 1950 MHz, 226.20 W, 62, P2, 0x0000000000000000
2026/08/26 20:34:51.836, 0, 20774 MiB, 82 %, 1950 MHz, 1950 MHz, 226.99 W, 62, P2, 0x0000000000000000
